text,language,label
"Барлығымен осындай келісімге келіп алу керек, шетелде қашып жүргендерді ұстауға хорошая возможность.",mixed,
"Локальные производители получают всё больше поддержки, офтейк-сделки выросли в 10 раз – это круто. Қазақстандық компанияларды қолдау арқылы ішкі нарықты күшейтуге болады. Бізге өз өндірісімізді дамыту керек, сонда экономика да мықты болады 👍",mixed,
"7 крупных проектов в 2025 году – это амбициозно, но если всё реализуют по плану, будет большой рывок. Жолдардың дамуы, контейнерлік хаб – бәрі маңызды бағыттар. Қазірдің өзінде инфрақұрылымға салынған инвестицияның әсері байқалып жатыр",mixed,
"Обновление маслихатов через прямые выборы – это вообще топ, значит там реально будут те, кого выбрали жители. Бәрі де халық үшін жақсы болады деп сенемін👏",mixed,
Амал күні – тёплый праздник про уважение и единство!,mixed,
"Это важный день для нас, для всего народа! На Амал күні чувствуешь поддержку и любовь близких.",mixed,
"О, Амал күні — это настоящий праздник для души! Вспоминаю, как раньше у нас в ауле все собирались. Круто, что эта традиция возвращается!",mixed,
"Молодцы, что заранее сделали всё по уму: и техника, и люди наготове. Егер әкімдіктер де өз міндеттерін жақсы орындаса, ешқандай қиындық болмайды",mixed,
"Кандай сендерге қызмет, как они будут общатся главное чтоб достигли лучшего сценария войны!",mixed,
"Согласна, школы – это важная вещь, у нас тут деток всегда много. Дұрыс айтасыз, қажет нәрсе!",mixed,
"Объездная дорога будет просто находкой! Теперь можно будет без пробок по области кататься. Жалпы, жақсы болар!",mixed,
"Круто, что строят новые школы, а то в некоторых районах реально не хватает мест для детей. Тапқан жоғыңыз өте жақсы болды!",mixed,
"Жақында ғана сайланып еді ғой. Посмотрим, как все это будет реализовываться, но старт вроде бодрый)",mixed,
Коопиратив Асар баспана для блого  простых народа МЫ только Спосибо скажим НУРБОЛ МАРАТҰЛЫ,mixed,
Молодец!!! ИншаАллаһ будь на пьедестале Олимпиады 🤲🏻👍💐,mixed,
Молодцы наши женщины! Трудолюбие и упорство всегда ценились в Казахстане! Айтпасам да білесің!,mixed,
"Я давно хотел, чтобы Туркестан получил подобный статус. Это даёт массу возможностей для развития духовного и культурного потенциала. Жақсы жаңалық деп ойлаймын 👏",mixed,
"Найди оскорбление в моих коментах ! Загугли возможно еще гуляетт это видео где убийцы приехали с ружьем! А тебе не советую обелять убийц, басына келіп қалады!",mixed,
"Если строительство первого АЭС ойдағыдай болып жатса, думаю можно будет приступать к строительству 2,3ей станции.",mixed,
"По сути, жаман нәтиже емес, но с каждым годом нужно только улучшать эти показатели, если барлығын удаленно басқарып отыратындай жасаса всем было бы удобнее и выгоднее думаю. Над этим нужно подумать.",mixed,
"Это групповой турнир, мы выиграли у КНР и ЮК, но проиграли Японии. Но Закон Кз поторопились, если сейчас КНР обыграют Японию, то у нас будет бронза. Это, конечно, маловероятно, но возможно. Хохолдарда мақал бар ғой - Не кажи гоп, пока не перепрыгнешь)",mixed,
"Каждому свое. Но по факту, рабочие, те самые трудяги, которых благо сейчас не мало, это фундамент всех стран мира. Өз жұмысын адал істеп жүрген жандарға мың алғыс.",mixed,
"Келісемін, үкімді алқабилер соты шығарды, ал судья жазаны заң бойынша белгіледі.",mixed,
"Да мы мирная страна и пусть всегда у нас будет ясное небо над головой, но как говорится, сақтықта қорлық жоқ",mixed,
"По сути, у каждого из них есть опыт. Бір емес бірнеше станциясы бар елдер ғой. Неплохой выбор👍",mixed,
Вроде бірнеше күн болатын емес па еді Китайский Новый год или ошибаюсь🤔,mixed,
"Упразднить Сенат как ненужный элемент в структуре го-ва, распустить «Аманат - нұротан” как партию дескредетировавшую себя,  назначить подлинно народные выборы в Мжлис не по партийным спискам.",mixed,
"Өткен жылы біраз оқиға орын алды ғой. Интересно будет послушать итоги года. Удачи всем кто будет выступать, особенно, Бектенову. Достойный человек, хорошо справляется со своими обязанностями✊",mixed,
"Заслужил, осылар ғой банда болып, халыққа дизинфо таратқан. Можно было бы и побольше дать)",mixed,
"Что сказать, сам виноват. Никто же не заставлял их участвовать в этих беспорядках. Анау Дикийдың жанында банда болып жүруші еді. Осылар ғой халыққа дизинфо беріп, беспорядок ұйымдастырған. Можно было бы и побольше дать.",mixed,
"Дикого Армана засудить, а по Қайрат аға не знаю!",mixed,
"Это уже проблема об продаже валют, те кто хочет тот берет а вообще, я тут с тобой Келісем очень странно что данные финансовые Бизнесу люди которые выходят на рынок не знают что выше цена не залог Үлкен ақша!",mixed,
"Неплохо, 45 млрд прибыль деген біраз сумма негізі Казпочта үшін. Да и служба доставки у них на уровне👍",mixed,
Халық заңнама бойынша өз құқығын толықтай білетіндей болу керек қой,mixed,
"Бюджеттиқ жалақасы аздау болған үщун , хукым шығарады ал манызды деффицит және инфляцияны зертеп қадалап мамандарың аз жалақасы болған үшун олар тым миндетің толық актармайды өз өзимен иесиз қалды, ал зардабың ел тутынышылар щегип түр? Продовольственный кризис он регулируется с учетом дополнительной поставки тех продуктов где есть ажиотаж . При диффиците цена возрастает ! Необходимо снять напряжение и все ! Инфляцию можно предотвращать и управлять в пользу народа , а не в пользу монополистов!",mixed,
😱😭 иманды болсын 🤲  Вы там вообще уже что творится Мать которая осталась с таким грузом боли 😢😢😢 ещё решили осудить ... сабр Опомнитесь ! Судьи .  Қазақстанда  заңды.,mixed,
"Бәке  ,Каке всё по ровну поделили и никакой конфискации, случайно , ну взяла, ну простить и помиловать , она перепутала карманы, работала всё же с утра да вечера что бы , чтобы нелзяяяяяя !!!",mixed,
"Сейчас время строить и развиваться, а не отвлекаться на политические вопросы. Тоқаевтың сөзі сенімділік береді, бәрі өз уақытында болады.",mixed,
"**Здорово, что интервью будет в Ана тілі это ведь поддержка казахского языка на деле!👍**",mixed,
"Спасибо пилотам, что не растерялась и спасли столько жизней, к сожалению ценой собственной. И нашим рахмет, что подготовили место для посадки, что МЧС и врачи работали оперативно! Впервые за последнее время я могу с гордостью сказать, что қазақтар өз мықтылығын көрсетті!",mixed,
"Иманды болсың!!!, только один вопрос,а где были наши погран службы?постороний самолёт залетел в наше воздушное пространство,они не увидели его🤔",mixed,
У природы нет плохой погоды😇Алматы үшін қалыпты жағдай!,mixed,
Новые станции с Китаем — экологически чистая энергия — это плюс для всей страны. Енді табиғатты сақтаймыз! 🌱,mixed,
Это Сарышаған - рыбный край жемчужина Балхаша,mixed,
"Атам келер еді, сразу берлиннен кейін бұрып жіберді ғой, Квантумды в упор көрмейсің ғой, две недели и капитуляция",mixed,
"Қайта жақсы емес пе , елдің жарқын болашағы үшін 👍",mixed,
Танысып не ақшасы болмаған ғой,mixed,
"Окончания - ов, ова, ев, ева, конечно не преемлем и не актуален қазақтарға. А отчество ұлы, қызы остаётся думаю. Например Асан Нурлан Серікұлы...",mixed,
Отличная новость! Алға Казақстан!,mixed,
"Туризм, сельское хозяйство, цифровое развитие, торговля, логистики и т.д все это нужные сферы, как формальность, так и необходимость. Главное что наши страны пришли к сотрудничеству, и развивают его. Сәттілік 🇰🇿🇲🇳🙌🏻👏🏻❤️",mixed,
"С праздником! Мира нашей Родине, процветания и счастливого будущего нашим детям!!!! Алға Казахстан 🇰🇿!!!!!",mixed,
"Почему нет в списке скульптора Асқара Нартоаа, чьи два памятника Абаю, президент подарил Киргизии и Туркменистану?",mixed,
13 адамның ішінде екі әйел бар еді ғой,mixed,
"Зато РФ научило думать га этом языке все 16 республик. А у нас за 11 лет школы учебники сделаны без пернвода жана сөздер, нет словаря даже в конце. Переписывают тексты с доски, и за 11 лет нет разговорного уровня. Иностранные учебники зато легко и быстро обучают по уровням за полгода до среднего. И никому эта проблема не нужна!!!",mixed,
Доходность депозитов в теңге выше чем в иностранной валюте - и это он указывает в стабильность нашей валюты 🤦‍♂🤦‍♂🤦‍♂.,mixed,
"Да просто, чай с лимоном, или кофе, я не люблю любое кофе даже турецкое, я два года жил в Италии, вот там они умеют готовить, заметьте не варят как турки, а готовят, это с удовольствием, чёрный чай? Только если моя Әже, её нет, или Мамы, қаймақ пен, а так Динюсь сәл шыда енді 😊",mixed,
"Атырау облысы ТЖД құтқарушылары судан құтқарып,  қайық үстінде алғашқы медициналық көмек көрсетіп, жағаға шығарды. Кейін 103 қызметкерлеріне тапсырды.",mixed,
"Браво,вот цивилизованные страны так делают,ДАЙ БОГ,чтобы между нами всегда  были взаимовыгодные отношение.АЛЛА ЖАР БОЛСЫН  екі елге!!!",mixed,
Приземлился на казахстан болады. Төбеден түсті.,mixed,
"Это потому, что 90-ые годы, теңге привязали к рублю. Нужно оборвать Эту связь. Тогда будет рай для казахстанцев.",mixed,
"Керемет! Кому то может не понравиться, это спорт, все нюансы знают специалисты! Аман болайық,тыныштық болсын!",mixed,
"Соревнования по құсбегілік обещают быть впечатляющими! 18 беркутов, 12 соколов и 12 ястребов покажут свои навыки в охоте, привлекая внимание зрителей со всего мира.",mixed,
"Так в бюджет страны возвращенино от корупционеров и воров согласно официальных данных почти 1 трл теңге, даже не запланированое прибыль в 1 трл теңге не покрывает ? К тому же цены на Нефть была оценена при закладке бюджета не бөлее 60 теңге за баррель, а реальная цена бөлее 70 теңге, куда делись все эти излишки ??????",mixed,
"Орталық қазірдің өзінде АҚШ, Еуропа, Ұлыбритания, Азия және Таяу Шығыс елдеріндегі бірқатар серіктестермен тығыз ынтымақтастық орнатты.",mixed,
"Начните с дороги Петропавловск - Жезқазған, Атбасар - Көкшетау, Көкшетау - Қостанай, Орал - Жанғала- Сайкын... Попробуйте присвоить им категории.",mixed,
Мәңгілік не пересекается с улицей Сарайшык,mixed,
Шығыс на слуху 😁,mixed,
"Законы в РК принимали депутаты Сената и Мажилиса!!!! И во всех законах пострадавшими становятся граждане, народ Казахстана !!!!  Даже по штрафам видны завышенность по объёму и количеству в 3 три раза увеличены !!!! Как будто Қазақ халқы заведемо заранее виноваты во всех преступлениях РК !!!! Наказать депутатов у них на месте проживаний !!!!!",mixed,
"Құтты болсын! Бауы берік болсын! Кто она, зачем, деп өздеріңнін төмендігіңді көрсетпеңдер! Если вы не знаете, это не значит, что она не известна! Доброе слово пораждает добро для себя! А столько злости-зачем и почему? Не знаете, прогуглите! А рожает в 50-это уже смелость! А сама или не сама тоже не ваше дело! Самое главное, Баян молодец, что решилась на такой  подвиг! Удачи и всех благ! Рахмет, за то что этот казахский мир сделала богаче еще на двух красавиц! Аман, сау болып өсе беріңдер!🙏🏼",mixed,
"В Көкшетау тоже бардак, все разбомлено",mixed,
Мәссаған 😮 что так можно что ли?,mixed,
"В отличии от ауыз ашар - обязательно істеу керек, кісілерді шақыру керек, ет асу керек и тд и тп",mixed,
"в е салық этот же доход будет указан как наличный, если я еще через пей такую сумму приму, то двойной налог не будет?",mixed,
"В Казахстане около 6.8 млн детей до 18 лет, теперь посчитаем пусть из них этот взнос будут вносить 2 млн родителей, 94 000 х 2 000 000 родителей = 188 000 000 000 млрд теңге, короче очередная тема правительства по высасыванию денег у народа, и нет ни какой гарантии о сохранности этих средств, хотя даж если была гарантия все равно эти средства из страны вывезут за день, потому что для таких людей безнаказанность в порядке вещей, вот наказывали бы конкретно чиновников, но нет же желееют, год назад сын депутата Жигули Дайрабаева украл 500 млн предназначенные для субсидий, детям и его семье что нибудь сделали, а он до сих пор сидит в депутатском кресле, почему его не убрали, вон пацана за шутку хотят посадить на 7 лет за шутку с соц сети, а он и его семья не прикосновенные что ли, да ещё и слуга народа называется, таких с позором выгонять надо",mixed,
"Я бесплатно отправляю через халық на Узб карты 🧐 суммы правда до 20к теңге всего, но хз, комиссии нет на карты Uzcard и Humo",mixed,
"Ко лбу ,и гладить волосы и говорить ақшам шашымнанда көп болсын!😄",mixed,
Бірге болсын! Рахмет. Нет не встречали такую информацию,mixed,
"Хорошо. Спасибо за ответы и советы. Но я - это другая история және қазақша мен еркін сөйлесем орыс болсам да. Там такое дело, что я за детей переживаю и считаю, что живя в Казахстане и не знать казахский это манкуртизм. Т.е. это вряд-ли моё желание, а скорее необходимость. Которую многие конечно не воспринимают как необходимость, в отличие от меня",mixed,
так этот сайт родом из Китая 😳 Қытайда туылған ғой,mixed,
Asos интернет дүкен қазақстанға доставка жасайма кім біледі?,mixed,
"""Клеймо позора"" деген аты жаман екен ☹️. Басқалардың ойынан тәуелсіз болуға тырысып жүрсе адам деген 💁🏻‍♂️... И в 1-части и во 2-ой... Как будто мнение окружающих важнее всего (но я и не говорю что оно вообще не важно, но этот наш менталитет #$!&)",mixed,
"В форте и халық банкте никак х уступок нет. Заявление принимают только у людей, определенной категория( безработный, с инваледностью) . Никаких снижений нет. Дают отсрочку , увеличивают срок и еще дополнительно проценты. Халық банкте мен сказали, что я должна буду оплатить сумму кредита и еще саерху 60000 тысяч за кждый месяц отсрочки и то если примут  заявление.( Задержка зарплаты на 3месяца былай)",mixed,
"как тебе идея снять ролик про общественные движения в стране? (Жаңа адамдар, Дала қырандары) я как общественник, и как тот подписчик который всегда смотрит твои видео хочу услышать твое субъективное мнение. Заранее спасибо",mixed,
Обзор біткенше күлдім. Если честно фильм не смотрел. После обзора я понял что хотел сказать государства 😂😂,mixed,
"Огонь просто. Кто злорадствует, посмотрите хотя б для кругозора австралийку с её обезьяньим танцем. Наши ребята молодцы, с такими талантами и трудолюбием еще возьмём пьедестал💪🏻алға, менің Қазақстаным❤️",mixed,
"Орденом ""Алтын Қыран"" награждаются лица, которые внесли исключительный вклад в укрепление независимости, экономическое, культурное, и социальное развитие Казахстана, а также в повышение его международного авторитета",mixed,
"Оралбай хороший боец,показал хороший бой. Алга Казахстан . Слава Україні",mixed,
"Вааау, молодцы ребята👍, у меня чуть сердце не остановилось, пока парнишка спускался на велосипеде. Аллам сақтасын,аман жүріңдер.",mixed,
"Хова, по новостям если судить частенько отказывают тормоза ..хотя мәшины новые. Представьте, такая махина несётся без тормозов😿",mixed,
"Сәкен с Дусматовым будет дратся,Дусматов31год , не тот Дусматов , но опытный,а Сакен тоже не плохо вступает,но мен не нравится ,что он свою голову вниз тянеть  ,басты көтеру керек қой.",mixed,
Алға алға жане алға! 🙏,mixed,
Ну и бәрібір емес па какая форма на тебе когда золото на груди и флаг гимн страны в твою честь???,mixed,
"Жаль…Абиба не смогла забрат бронзу…эх, ..жарайсың Абиба мойыма,жеңісің алда әлі!",mixed,
Сметову от Сметова - Удачи! Пусть Золото Олимпиады будет твоим! Сәттілік!,mixed,
"Құдай сақтасын , обал",mixed,
"Аллаха шүкір, все тела найдены. Люди будут захоронены, как положено. Иманды болсын! Соболезнования родным!",mixed,
"По статистике если не ощибаюсь шесть миллион қазақ живеть за границу,надо пригласить всех.",mixed,
"У казахов слово шәһіт имеет другой смысл,в правильном понимании этого слова. Говорю как правнук Шәһіта,погибшего под Москвой в 1942 г",mixed,
Финляндия и Швеция когда вошло в НАТО в каком году?Россия (артық қылам деп тыртық қылды ),mixed,
"Жалпы, табысты келіссөздердің нәтижелері бойынша мемлекетаралық салалық ынтымақтастықты нығайту бойынша алдағы қадамдарға тек сәттілік",mixed,
Получил за то что ответил матом . Нормально объяснять за падло . Бәрінің кеудесіне нан піскен заман болды ғой .,mixed,
"Тұрсынбек Қабатов, до этого там кто то,потерял гитару,теперь этот, что с ними происходит,в самолете, экзамен на высокомерие не проходят?!",mixed,
"Себебі, барлығы ашық өз көзқарастарын бетпе-бет саммит үстінде айтып, мәселелерін ортақ шешуге мүмкіндік бар",mixed,
"Қонақжайлығымызды көрсетіп, жақсы күтіп алу керек👍",mixed,
На казахский лад звучать будет Ертұған и это имя.,mixed,
"Вообще кыргызский и казахский языки очень близки и чем то схожи, как и культура с религией. Кыргызско-казахстанские отношения всегда были на очень высоком уровне, и экономические и другие официальные связи двух стран были высоко оценены обеими нациями, поскольку у них много общего. Можно смело говорить ""Қазақ Қырғыз бір туған""",mixed,
Дайындық қызу үстінде 🔥,mixed,
"Я благодарен за это своей стране. И если для этого нужно проводить учения, сотрудничать с другими странами то я только за. Еліміз аман, аспанымыз мәңгі ашық болсын 🙌🏻🇰🇿❤️",mixed,
Ежедневно погибабщие от голода и вирусов дети некоторых стран Африки Вам бәрі бip. Там даже речи об образование нет,mixed,
"не болса да , кінәліні табады, бірақ анау бищяра өлсе де бәрібір екен",mixed,
Не болатынын көреміз енді.,mixed,
Аким города Жаксылык Мукашұлы самый креативгый и трудолюбивый Аким в КЗ. Красавчик всегда держит руку на пульсе,mixed,
"Самокаты вылетают на пешеходную дорожку на большой скорости даже в темное время ,  и им плевать что авто в миг не успеет затормозить, сам несколько раз чуть не сбил 30 ти летний опыт вождения и Кудай сақтады.",mixed,
Әйтеуір из крайности в крайность болватырмыз,mixed,
"""Таза Қазақстан"" начинается с нас самих",mixed,
"Учения это всегда хорошо, пусть проводят, всегда надо быть на стреме, но надеюсь эти учения никогда не пригодятся на практике, еліміз аман, аспанымыз әрдайым ашық болсын",mixed,
"Видимо вас не было в Астане на саммите ОБСЕ, когда бомжей выгоняли в Көкшетау, Қарағанды",mixed,
"В студенчестве занимался 2-3 мес фехтованием, (была хорошая боксёрская база) в личном первенстве прошёл 6-7 кругов с хорошим перевесом, в полуфинале встретился с мастером спорта, вёл 4:0… его тренер, заслуженный наехал на судью.. я нанёс ещё 3 укола, но засчитали ему , итог 4:5,финал он легко выйграл и стал чемпионом универсиады РК 1984 года…  сейчас я сделал выводы и отчётливо вижу суть проблемы, и по генам нам близки қылыш пен найза!!!",mixed,
"Дукен,Су, сүт,дурыс,жаңа,сурет,кал калай,мен,сен,ол, тәте,ет- хватит для получения Гражданства?",mixed,
"Удачи, успехов и отличных результатов в новой работе, ісіңіз тек оңынан болсын",mixed,
"Жарайсың..Нора. Она с Нарынкола..с.Текес...әкесі Жәкең менің құрдасым,молодец!!",mixed,
Той басталды не айқайлай алмасан не ауызға салып лақтырамасан ....,mixed,
Әсет Ирғалиевті осындай лауазымға тағайындалуымен құттықтаймын!,mixed,
"Хоть у нас страна и с мирной политикой, хоть мы со всем в дружеских и партнерских отношениях, безопасность надо максимально повышать. Еліміз мәңгі бейбіт, аспанымыз ашық болсын",mixed,
На Қапшағай 😂,mixed,
Салтанатқа конечно обал,mixed,
"Полный бред, неужели в такое можно поверить, это как средняя зарплата в 500000 тысяч теңге",mixed,
"Қазақтар не забудут помощь братьев таджиков , киргизов и узбеков! Қыин кезенде қасымызда болып , протянуть руку помощи это многого стоит!!!!",mixed,
"Зачем так говорит,она по своими знанием проводит процесс и не плохо ,чтобы потом  бишимские адвокатчики рот закрыли,среди них очкарик так усиленно работает,наверно ей золотые горы обещали, тфу ,ондай жексұрын қорғаушы болып нан тапқанша...",mixed,
почему Ораза Айт не объявят днем праздника. даже дети не смогли как следует айттауға. в этот день следует по гостям ходить. а они в школе были😢,mixed,
"Вот теперь эпидемии надо опасатся, за детьми следить, за питанием. Могут всякие вирусы появится. Құдайым халқымызды жаман аурудан, жұттан сақтасын.",mixed,
"Алла халқымның амандығын берсін! Скоро начнутся разбирательства. Есть просьба или предложение Президенту и Парламенту, чтобы приняли меры об ответственности ответственных лиц любой отрасли, не взирая на ранги и звания, приведшие к таким последствиям, наказать не смещением или понижением должности, а тенге. Пусть суд установить ответственность каждого виноватого, не сажать за экономические преступления и халатное отношение к своим обязанностям, а вешать на их плечи как кредит и не выпускать из страны пока не погасят. А то привыкли как раньше агрономы, не урожай-от недождливости.",mixed,
Әр күніміз жақсылық пе қуанышқа толы болсын,mixed,
"Біздің елде жылда осы ғой ештеңеге тасқыны қойып, қыс кезінде тендер аларда бес машина, тракторымен көрсетеді "" готовность на 100% деп, соның өзінде 50% транспорт, жұмысшылары по знакомству көрсетуге алып келеді и ВСЁ, тендр өалтада. Басқасы не болса ол болсын, шуылдап жүрген ХАЛЫҚ.",mixed,
С США лучше дружить чем враждавать...не дай бог с ними начать терки сразу жди беды. Так что көтті қысып родной деп журе берген дурыс.,mixed,
"Герой современного мира ! Молодчик , настоящий ЖІГІТ!",mixed,
"Мұсылманы не арабы, а придерживающие своих обычаи,а наши обычаи более гуманные.",mixed,
"Факт, от провокаций, лишних слухов и прочей ерунды лучше никому не будет, только будем в заблуждения друг друга вводить, а как известно өсекті бізде жақсы көред",mixed,
"На протяжении последних тысячелетии Наурыз - новый год, традиционно празднуется только один день. 21 марта - день, когда день по времени равняется ночи. А празднование Наурыз несколько дней, по казахский называется «Бүректен сирақ шығару”.  Бүкіл әлемге күлкі болған болмайдығой ағайын.",mixed,
"И Вас били ойбай 😱не деген ""жауыздық""!",mixed,
"Біздің халқымыз сондай, если у кого то беда, мы протянем руку помощи и это правильно",mixed,
"Ооо ғосподи, я теперь только об этом и думаю 🤦🏻‍♂😂😂😂",mixed,
"Іле өзені, а не или , Енисей емес Енесай,Байкал емес Байкөл, Еділ,Жайық тоже под другим названием, Альпийские горы емес Алып тау, и так до Аргентины которые наши Арғыны(шутка) Камызяк_Камыстыөзек, Саратов_Сарытау, Тюмень_Төмен, Курган_Қорған,",mixed,
"Сорлы Күлпаш,сутягиннің артынан кетпедің бе,алған бес-он теңгеге атышулы сутягинді қолдап босатып жіберген,мен оған 4,5 емес 10жыл берер едім.",mixed,
Всё всё молчу ғо,mixed,
Везде были сады росли яблони алыча. Вырубили дома построили. Ну зачем туда  лезть. Алла сактай көр,mixed,
"Сопляки пишут на авто-әр қазақ менің жалғызым. Указываю на бедолагу-накорми его, подтверди надпись. Почему то агрессия появляется",mixed,
"Как вообще напасть на скорую помощь в голове мысль допустить, что с человеком нужно сделать, как нужно психику и мораль извратить чтобы человек напал на 103? 🤦‍♂ Ұят не ұят, а это мы ведь, наша составляющая общества странно это.",mixed,
"Жан тәтті бәрінде, я даже из дома не вышла 🙄",mixed,
"Турецкие землетрясение дошли до средней Азий готовьтесь жігіттер мен кыздар тряснеть до 6-9 баллов,  особенно юг атырау актау сильно пострадают грубо смятение со землей.  Кызылорда там качают нефть воду не заливают не наполняют там будет хлеще",mixed,
"Они работали в это время на пути , иманды болсын жақындарына көңіл айтамыз",mixed,
"Осында отырған жүздеген адамдар тек кемсітіп,жаман жағын жазуға тырысып  отыр да..Рахмет,участковыйға..а,вед мог бы сказать “не знаю,не в курсе” и идти по свойм делам. А,он поехал в такую погоду спасать людей...Молодец!",mixed,
Тэцтың керектігі қазірдің өзінде байқалып тұр,mixed,
"Лучше бы инфраструктуру поменяли по Кз, гниет все , пол страны без отопления и воды, летом без света, чем эти боққада керек емес темірді дәм болсын туда сюда тасып, салыб, алыб, жасаб.",mixed,
Был Награжден орденом «Даңқ» II степени в 2017 г. ✊,mixed,
Әкелеріңді әбден жер қылдыңдар ғой масқара,mixed,
"Құтты болсын! Поздравляю! Новому Казахстану-новые руководители, такие как Рустам Алиевич, эрудированный, грамотный, креативный!",mixed,
"Всех предупреждали ведь, не выезжайте, не выезжайте деп. Нет, прут и прут 🤦🏻‍♂️🤦🏻‍♂️ а потом еще претензии высказывают, Казавтожолу на нас наплевать деп, ұялмай қызармай 😏",mixed,
"Турбулёнтность в Эйр Астана и её ""дочки"" -Қазақ эйр?😄",mixed,
"Самая наиважнейшая ПОЛИТИКА - это каждодневный хлеб на дастархане простых граждан. Более глобальной и более насущной темой для любой власти нет ағайын. “Тоқ баламен аш бала ойнамайды, тоқ бала еш нәрсені ойламайды”.",mixed,
"Жаңа  Қазақстан с прежним наполнением!!!!! Уже не говоря о поддержке бизнеса, хотя бы не вставляли бы палки в колеса.",mixed,
"Действительно не было ли хоть одного нормального мужика? Когда самолёт атаковал башни близнецов, говорят там тупо ножом угрожали, төрт адамды любой жерде қайыстыруға болады ғой",mixed,
"Вечная память и Вечная слава Героям павших на боях сражения против фашизма!!! Люди которых не сломил страх!!! Аллах тағалам сіздерге жаннаттың төрінен орын берсін, әумін",mixed,
"Ну как непонятно - депутат әбил рассказал - что они (бизнесмены) теряют время - пока одни работают, другие спят, эти проснулись те домой ушли! там уже и день прошел…)))) они бабки заколачивают, и никто за нас не переживает, только за свой карман! И на сайте егов есть голосование, до 22 декабря можно проголосовать против! К чему я всех призываю",mixed,
"Раздача всего и всех, это почерк старого режима. Бірден елімізді құлдыққа өткізіп жімермегеніне шүкір.",mixed,
Өтсе де өтпесе де көңілім бір қалпы. Өткенде де не бітірер дейсің? Англия не Францияға барады да қадалады.,mixed,
"вопрос прозвучал в рамках общей риторики о знании языков и адресован редакции и никак не в вам, так что ""умные"" комментарии можете придержать для более удачного случая. Сіз өзіңіз негізі қазақша қалайсыз?",mixed,
"Ну что сказать, жексұрын боп кетті!!! Видать деньги и власть не помогли в больнице!",mixed,
Күлкім пришла прям,mixed,
**Құтты болсын!** ❤️🇰🇿🇷🇺 Очень хорошо✊,mixed,
"Это получается они убивают всех, стреляют во все что шевельнется, о какое горе, о Аллаһ помоги человечеству",mixed,
"Сделайте зп как в Лондане, сделайте соц пакет такой же как в Лондане. Халыққа түк бермей,  бірақ Лондандағыдай өмір сүргілері келеді.",mixed,
