text,language,label,text_norm
"Беру уже 2 раз, хватает надолго ещё цена тоже радует.",ru,,"беру уже 2 раз, хватает надолго ещё цена тоже радует."
Мен әрдайым осы салфеткаларды аламын. Сыйлығымен бірге салып жіберіпті. Рахмет үлкен.,mixed,,мен әрдайым осы салфеткаларды аламын. сыйлығымен бірге салып жіберіпті. рахмет үлкен.
"Өнім өте жақсы, бағасыда тиімді. Жанында сыйлығы да болды. Көп көп рахмет. Алғаныма өкінбеймін. Айтарым тек алғыс.",kz,,"өнім өте жақсы, бағасыда тиімді. жанында сыйлығы да болды. көп көп рахмет. алғаныма өкінбеймін. айтарым тек алғыс."
"Күшті салфетка, машинада тұрады, удоб.",kz,,"күшті салфетка, машинада тұрады, удоб."
Жақсы. Рахмет. Қасында кішкентай салфетка сыйлығы болды.,kz,,жақсы. рахмет. қасында кішкентай салфетка сыйлығы болды.
"Пришло все хорошо упаковано, запах неплохой, спасибо за доставку.",ru,,"пришло все хорошо упаковано, запах неплохой, спасибо за доставку."
"Өте керемет, маған ұнады, тағыда заказ беремін.",kz,,"өте керемет, маған ұнады, тағыда заказ беремін."
"Өте керемет салфетка, арзан өзі.",kz,,"өте керемет салфетка, арзан өзі."
"Спасибо за подарочек, отличные салфетки.",ru,,"спасибо за подарочек, отличные салфетки."
Супер өз бағасына және бонус кып кишкентай салфетка салып жиберипти. Өзінің уақытынан бұрын келді.,kz,,супер өз бағасына және бонус кып кишкентай салфетка салып жиберипти. өзінің уақытынан бұрын келді.
"Упаковка жақсы, в подарок мини салфетка келді.",mixed,,"упаковка жақсы, в подарок мини салфетка келді."
"Арзан әрі маржан салфетка. Уақытылы жеткізілді, кішкентай салфетка сыйлық етіп салып жіберіпті, рахмет.",kz,,"арзан әрі маржан салфетка. уақытылы жеткізілді, кішкентай салфетка сыйлық етіп салып жіберіпті, рахмет."
Өте жақсы сападағы салфетка үнемі аламын.,kz,,өте жақсы сападағы салфетка үнемі аламын.
"Классные салфетки, беру апашке Очень приятно пахнуть и главное их аж 120 штук.",ru,,"классные салфетки, беру апашке очень приятно пахнуть и главное их аж 120 штук."
"Бағасы қол жетімді, сыйлық үшін рахмет.",kz,,"бағасы қол жетімді, сыйлық үшін рахмет."
"Огромное спасибо продавцу и Каспи как всегда на высоте, удобно, чётко классно! Салфетки супер!",ru,,"огромное спасибо продавцу и каспи как всегда на высоте, удобно, чётко классно! салфетки супер!"
"Хорошие, приятный запах, за подарочек отдельное спасибо.",ru,,"хорошие, приятный запах, за подарочек отдельное спасибо."
"Хорошие влажные салфетки, мягкие и достаточно плотные, с легким приятным запахом.",ru,,"хорошие влажные салфетки, мягкие и достаточно плотные, с легким приятным запахом."
"Каспиден влажный салфетка заказ бердім бағасына 100% стоит, ішінде 120штук иісіде керемет, базардан қарағанда Каспи арқылы тапсырыс берсеңіздер өкінбейсіздер.",mixed,,"каспиден влажный салфетка заказ бердім бағасына 100 стоит, ішінде 120штук иісіде керемет, базардан қарағанда каспи арқылы тапсырыс берсеңіздер өкінбейсіздер."
"Бізге ұнады, өте жақсы иісі күшті. Рахмет, уақытынан ерте келді.",kz,,"бізге ұнады, өте жақсы иісі күшті. рахмет, уақытынан ерте келді."
"Біріңғай осы салфеткадан беремін, бағасы да өзі де жақсы.",kz,,"біріңғай осы салфеткадан беремін, бағасы да өзі де жақсы."
Қасына подаркасымен беріп жіберіпті күшті.,kz,,қасына подаркасымен беріп жіберіпті күшті.
"Өте арзан екен, маған ұнады.",kz,,"өте арзан екен, маған ұнады."
"күшті, еще қасында кішкентай влажныйы бар.",mixed,,"күшті, еще қасында кішкентай влажныйы бар."
Цена и качество просто супер.,ru,,цена и качество просто супер.
"Маған ұнады, бір алғанда 3шт алдым.",kz,,"маған ұнады, бір алғанда 3шт алдым."
Күшті салфетка. Мен үнеми осы салфетканы алам. Көл жетимді бағаса.,kz,,күшті салфетка. мен үнеми осы салфетканы алам. көл жетимді бағаса.
"За свои деньги салфетки хорошие. Беру уже не первый раз, это второй заказ. Качеством довольна.",ru,,"за свои деньги салфетки хорошие. беру уже не первый раз, это второй заказ. качеством довольна."
Өте жақсы әрі арзан керемет.,kz,,өте жақсы әрі арзан керемет.
Бағасы қолжетімді. Және сыйлық салыпты рақмет!.,kz,,бағасы қолжетімді. және сыйлық салыпты рақмет!.
"Бәрі жақсы, сапасы бағасына сай, доставкасы тез болды.",kz,,"бәрі жақсы, сапасы бағасына сай, доставкасы тез болды."
"Сапасы өте жақсы, бағасы тиімді. Алуға кеңес.",kz,,"сапасы өте жақсы, бағасы тиімді. алуға кеңес."
"Салфетка өте жақсы, ішінде штугы көп өте ыңғайлы.",kz,,"салфетка өте жақсы, ішінде штугы көп өте ыңғайлы."
"Очень понравилось то, что положили в подарок маленькую салфетку. Спасибо.",ru,,"очень понравилось то, что положили в подарок маленькую салфетку. спасибо."
"2ші қайтара алып отырмын өзіме ұнайды, тағыда аламын деген ойдамын.",kz,,"2ші қайтара алып отырмын өзіме ұнайды, тағыда аламын деген ойдамын."
"Ұнады магазиннен қымбатқа алып жүрсем Каспиде өте тиімді бағада. Курьер балаға бөлек алғыс айтамын, уақытынан бұрын әкеп берген.",kz,,"ұнады магазиннен қымбатқа алып жүрсем каспиде өте тиімді бағада. курьер балаға бөлек алғыс айтамын, уақытынан бұрын әкеп берген."
"Каспиге рахмет уақытында келді, салфетки жақсы иісіде.",kz,,"каспиге рахмет уақытында келді, салфетки жақсы иісіде."
Өте керемет сапалы подаркаға кішкентай влажный үшін рахмет приятно жылдам жетті.,kz,,өте керемет сапалы подаркаға кішкентай влажный үшін рахмет приятно жылдам жетті.
Иісі өте жағымды. Сыйлыққа сабын салып жіберіпті. Бағасы да қолайлы. Үлкен рақмет.,kz,,иісі өте жағымды. сыйлыққа сабын салып жіберіпті. бағасы да қолайлы. үлкен рақмет.
"Маған ұнады, жанына кішкентай салфетка қосып салып жіберіпті, рахмет.",kz,,"маған ұнады, жанына кішкентай салфетка қосып салып жіберіпті, рахмет."
"Отличные салфетки, большие, достаточно влажные с приятным запахом, советую.",ru,,"отличные салфетки, большие, достаточно влажные с приятным запахом, советую."
"Керемет салфетка, постоянно алып тұрамын, бәріне рахмет.",mixed,,"керемет салфетка, постоянно алып тұрамын, бәріне рахмет."
"Өте тез, әрі ұқыпты ораған, қасында кішкентай сыйлығы бар екен. Алғысымды білдіремін.",kz,,"өте тез, әрі ұқыпты ораған, қасында кішкентай сыйлығы бар екен. алғысымды білдіремін."
Күшті уақытынан ерте келді еще қасына сыйлыққа карманный салфетки салған.,kz,,күшті уақытынан ерте келді еще қасына сыйлыққа карманный салфетки салған.
"Покупаю не первый раз за свою цену, вообще класс.",ru,,"покупаю не первый раз за свою цену, вообще класс."
Арзан еще қасына подарок келді.,mixed,,арзан еще қасына подарок келді.
"Бізге ұнады, тимді, көпке жетеді.",kz,,"бізге ұнады, тимді, көпке жетеді."
"Жақсы, инвестордың құқығы қорғалады екен. Енді бұндай істердің алдын алу керек қой.",kz,,"жақсы, инвестордың құқығы қорғалады екен. енді бұндай істердің алдын алу керек қой."
"Это пример хорошой политики меньше шума, больше конкретных мер для экологии, здравоохранения и безопасности населения",ru,,"это пример хорошой политики меньше шума, больше конкретных мер для экологии, здравоохранения и безопасности населения"
Жаңбырлы күнге дайын болыңдар ,kz,,жаңбырлы күнге дайын болыңдар
"Жарайды, ертең қолшатыр алуды ұмытпау керек сияқты",kz,,"жарайды, ертең қолшатыр алуды ұмытпау керек сияқты"
"Хоть бы раз в жизни правильно почистил, поучительно",ru,,"хоть бы раз в жизни правильно почистил, поучительно"
"Жақсы, жаңа темір жол деген заман талабына сай болу керек қой",kz,,"жақсы, жаңа темір жол деген заман талабына сай болу керек қой"
Такие шаги в сторону цифрового государства конечно же нужны,ru,,такие шаги в сторону цифрового государства конечно же нужны
"Хорошо, что спасатели так быстро сработали! Надеюсь, женщина быстро поправится",ru,,"хорошо, что спасатели так быстро сработали! надеюсь, женщина быстро поправится"
"Если это доведут до ума, будет большой плюс",ru,,"если это доведут до ума, будет большой плюс"
Шетелмен осындай кездесулер елдің беделін көтерері сөзсіз ғо. Экология мәселелері бойынша да маңызды шешімдер қабылдануы мүмкін. Қазақстанның көпжақтылық дипломатиясын қолдауы болашақта тиімді серіктестікке алып келуі ықтимал.,kz,,шетелмен осындай кездесулер елдің беделін көтерері сөзсіз ғо. экология мәселелері бойынша да маңызды шешімдер қабылдануы мүмкін. қазақстанның көпжақтылық дипломатиясын қолдауы болашақта тиімді серіктестікке алып келуі ықтимал.
Чем быстрее его построят тем важнее. Самое главное что бы он уже начал работать,ru,,чем быстрее его построят тем важнее. самое главное что бы он уже начал работать
Қазақ Монғол бір туған! ,kz,,қазақ монғол бір туған!
"Будьте осторожны, не ведитесь на такие уловки!",ru,,"будьте осторожны, не ведитесь на такие уловки!"
"круто, когда люди не сдаются и делают классные вещи несмотря ни на что",ru,,"круто, когда люди не сдаются и делают классные вещи несмотря ни на что"
"дұрыс шешім, кәсіпкерлерге жеңіл әрі тиімді болады",kz,,"дұрыс шешім, кәсіпкерлерге жеңіл әрі тиімді болады"
"Наркотики тоннами завозятся в страну. Это будет продолжаться до тех пор, пока не изменят наказание как в Китае или арабских странах.",ru,,"наркотики тоннами завозятся в страну. это будет продолжаться до тех пор, пока не изменят наказание как в китае или арабских странах."
"дұрыс шешім, заң орындары уақытында әрекет етіп жатыр",kz,,"дұрыс шешім, заң орындары уақытында әрекет етіп жатыр"
"Көршімен тату болған жақсы ғо, жол ашылады. Пайдасы тиер сияқты, экономика, экология жақсарады.",kz,,"көршімен тату болған жақсы ғо, жол ашылады. пайдасы тиер сияқты, экономика, экология жақсарады."
"Құттықтаймын Жас болса да, тәжірибесі бар сияқты.",kz,,"құттықтаймын жас болса да, тәжірибесі бар сияқты."
Президенттің ғылым мен білімді қолдауы дұрыс бағытта жасап жатқан жұмыс екенін көрсетеді,kz,,президенттің ғылым мен білімді қолдауы дұрыс бағытта жасап жатқан жұмыс екенін көрсетеді
"Жарайсың, Нұрбек!  Қолдап тұрмыз.",kz,,"жарайсың, нұрбек! қолдап тұрмыз."
"Да в нашей Улытауской области, если верить новостям, все подорожало больше всего. Как будто у нас кроме шахтеров никто не живет и нет никого с маленькой зарплатой.",ru,,"да в нашей улытауской области, если верить новостям, все подорожало больше всего. как будто у нас кроме шахтеров никто не живет и нет никого с маленькой зарплатой."
"Жақсы, бақылап отыр ғой бәрін. Дефицит жоқ екен, қор да жеткілікті. Сабырмен қарау керек енді.",kz,,"жақсы, бақылап отыр ғой бәрін. дефицит жоқ екен, қор да жеткілікті. сабырмен қарау керек енді."
"Қозғап жатқанның өзі жақсы, мемлекет қаржысын қорғау маңызды",kz,,"қозғап жатқанның өзі жақсы, мемлекет қаржысын қорғау маңызды"
"Должны быть не разовые проверки, а неожиданные и постоянные, тогда будет порядок. Владельцы  клубов идут на разные ухищрения, чтобы получить выгоду. Ради выгодны готовы подсадить несовершеннолетних на наркотики!",ru,,"должны быть не разовые проверки, а неожиданные и постоянные, тогда будет порядок. владельцы клубов идут на разные ухищрения, чтобы получить выгоду. ради выгодны готовы подсадить несовершеннолетних на наркотики!"
"уақытында келісім болса, нарыққа да тыныштық керек",kz,,"уақытында келісім болса, нарыққа да тыныштық керек"
"дұрыс, мәдениет пен заңды сақтаймыз әрдайым",kz,,"дұрыс, мәдениет пен заңды сақтаймыз әрдайым"
"Нам лишние потрясения на рынках не нужны, мы сейчас только только набрали обороты в экономике",ru,,"нам лишние потрясения на рынках не нужны, мы сейчас только только набрали обороты в экономике"
"Токаевтің заңдары уақытында қабылданып, елге пайдасы тиеді",kz,,"токаевтің заңдары уақытында қабылданып, елге пайдасы тиеді"
"мм, доллар сәл арзандапты ғо",kz,,"мм, доллар сәл арзандапты ғо"
"Жақсы, уақытында қолға алынған шара екен",kz,,"жақсы, уақытында қолға алынған шара екен"
"Аман болсын, надеюсь, все быстро поправятся",mixed,,"аман болсын, надеюсь, все быстро поправятся"
Жақсы бастама ғо. Қауіпсіздік үшін керек.,kz,,жақсы бастама ғо. қауіпсіздік үшін керек.
Пожарный датчик шынымен қажет екен. Құтқарды ғой отбасын.,mixed,,пожарный датчик шынымен қажет екен. құтқарды ғой отбасын.
Вот это новости! Каждый день что-то новое.,ru,,вот это новости! каждый день что-то новое.
"Электросамокаты — штука удобная, но осторожность нужна.",ru,,"электросамокаты штука удобная, но осторожность нужна."
Интересно чем теперь занята полиция Алматы?,ru,,интересно чем теперь занята полиция алматы?
"мм, қиын жағдай ғо. Бензин қымбаттаса, билет те қымбаттайды.",kz,,"мм, қиын жағдай ғо. бензин қымбаттаса, билет те қымбаттайды."
"Ладно самокатами, так уже мопедисты разьезжают по тротуарам, распугивая пешеходов",ru,,"ладно самокатами, так уже мопедисты разьезжают по тротуарам, распугивая пешеходов"
"Керемет Қытайда сол өңірдің ""көкпарынан"" жүлдегер болу үлкен дәреже...",kz,,керемет қытайда сол өңірдің көкпарынан жүлдегер болу үлкен дәреже...
"Жақсы бастама, жұмыссыздарға нақты көмек болады",kz,,"жақсы бастама, жұмыссыздарға нақты көмек болады"
Ботақан аман болса екен ,kz,,ботақан аман болса екен
Сол керек болған сияқты. Кінәсі дәлелденген ғой.,kz,,сол керек болған сияқты. кінәсі дәлелденген ғой.
"жақсы, уақытымен түсіндіріп берді, алаңдауға негіз жоқ сияқты",kz,,"жақсы, уақытымен түсіндіріп берді, алаңдауға негіз жоқ сияқты"
"Шторм ескертуі ғой. Абай болыңдар, ауа райына назар аударыңдар.",kz,,"шторм ескертуі ғой. абай болыңдар, ауа райына назар аударыңдар."
"Адам аман болса, бәрі жақсы болады деп үміттенеміз",kz,,"адам аман болса, бәрі жақсы болады деп үміттенеміз"
"Қазақ елін танытып, мақтаныш сезімін оятқаны жақсы екен",kz,,"қазақ елін танытып, мақтаныш сезімін оятқаны жақсы екен"
"Руслан — молодец, серебро на Кубке мира — это круто!",ru,,"руслан молодец, серебро на кубке мира это круто!"
"Ерванд не просто спортсмен. Поднять флаг страны на Эверест и пройти Семь вершин это годы дисциплины, риска и реальной работы над собой. И это не про разовый успех, а про системный результат.",ru,,"ерванд не просто спортсмен. поднять флаг страны на эверест и пройти семь вершин это годы дисциплины, риска и реальной работы над собой. и это не про разовый успех, а про системный результат."
"Жақсы жоба екен, цифрлық трансформацияға үлес қосады ғо.",kz,,"жақсы жоба екен, цифрлық трансформацияға үлес қосады ғо."
"Такое радует, приятно видеть что они заслужили награды.",ru,,"такое радует, приятно видеть что они заслужили награды."
"Шетелмен жақсы байланыс ғой. Туризм, технология да жүреді енді, тату болу бәріне жеңіл.",kz,,"шетелмен жақсы байланыс ғой. туризм, технология да жүреді енді, тату болу бәріне жеңіл."
Қатты өкінішті жағдай екен. Тыныштық болсын.,kz,,қатты өкінішті жағдай екен. тыныштық болсын.
"Жақсы ғой, біздің жігіттер мәдениетімізді көрсетіп жатыр екен.",kz,,"жақсы ғой, біздің жігіттер мәдениетімізді көрсетіп жатыр екен."
"Будьте осторожны, паводки могут быть опасными",ru,,"будьте осторожны, паводки могут быть опасными"
"Қолдау бар ғо, халықтың белсенділігі қуантады. Туркестан жақсы көрсеткіш көрсетті.",kz,,"қолдау бар ғо, халықтың белсенділігі қуантады. туркестан жақсы көрсеткіш көрсетті."
"Дело серьёзное, пусть разбираются и порядок наводят",ru,,"дело серьёзное, пусть разбираются и порядок наводят"
"Отметим Наурыз как положено, культурно и с уважением к традициям",ru,,"отметим наурыз как положено, культурно и с уважением к традициям"
"Қайғылы жағдай екен. Күтіп көрейік, бәрі анықталады ғо.",kz,,"қайғылы жағдай екен. күтіп көрейік, бәрі анықталады ғо."
"Иә, дұрыс айтады ғой. Жаңа мақсаттар керек. Қимылдап отыру қажет.",kz,,"иә, дұрыс айтады ғой. жаңа мақсаттар керек. қимылдап отыру қажет."
"Хорошая новость, скоро и в воздухе будем онлайн! ",ru,,"хорошая новость, скоро и в воздухе будем онлайн!"
Вот это я понимаю на высшем уровне внешняя политика.,ru,,вот это я понимаю на высшем уровне внешняя политика.
"Осы дұрыс бағыт сияқты, балаларға жақсы әсер етеді ғо.",kz,,"осы дұрыс бағыт сияқты, балаларға жақсы әсер етеді ғо."
"жақсы, істі уақытында қолға алған екен, әділдік болады деген сенім бар",kz,,"жақсы, істі уақытында қолға алған екен, әділдік болады деген сенім бар"
А надо брать пример с соседей,ru,,а надо брать пример с соседей
"Мұнай бағасы көтерілгенде экономикаға әсері әртүрлі ғо. Көрейік енді, не болатынын.",kz,,"мұнай бағасы көтерілгенде экономикаға әсері әртүрлі ғо. көрейік енді, не болатынын."
"Ну хоть что-то капнет с текущих счетов, норм шаг вперёд",ru,,"ну хоть что-то капнет с текущих счетов, норм шаг вперёд"
Ақсақалдарымыздың белсенділігі жақсы ғой. Олардың тәжірибесі мен пікірі қашан да маңызды. Бірлік пен тыныштықты сақтайық.,kz,,ақсақалдарымыздың белсенділігі жақсы ғой. олардың тәжірибесі мен пікірі қашан да маңызды. бірлік пен тыныштықты сақтайық.
"Хорошие цифры. В регионах, где традиционно высокая активность, люди не подводят. Вот что показывает зрелость общества и уважение к процессу",ru,,"хорошие цифры. в регионах, где традиционно высокая активность, люди не подводят. вот что показывает зрелость общества и уважение к процессу"
"Уже 4,6 миллиона бюллетеней роздано, люди проявляют гражданскую ответственность и приходят на участки с утра",ru,,"уже 4,6 миллиона бюллетеней роздано, люди проявляют гражданскую ответственность и приходят на участки с утра"
"Президент сделал свой выбор, теперь все зависит от людей. Потому что итог референдума формируется голосами граждан",ru,,"президент сделал свой выбор, теперь все зависит от людей. потому что итог референдума формируется голосами граждан"
"Классно видеть, что Президент лично пришел голосовать. Это показывает пример гражданской ответственности всем стоит брать с него пример",ru,,"классно видеть, что президент лично пришел голосовать. это показывает пример гражданской ответственности всем стоит брать с него пример"
"Это вселяет уверенность, что новая Конституция защищает интересы каждого гражданина",ru,,"это вселяет уверенность, что новая конституция защищает интересы каждого гражданина"
"Жақсы, басшылар халықпен бірге шешімге өз ықпалын қосып жатыр екен",kz,,"жақсы, басшылар халықпен бірге шешімге өз ықпалын қосып жатыр екен"
"Организаторы молодцы, столов регистрации накинули, чтобы толпу разрулить",ru,,"организаторы молодцы, столов регистрации накинули, чтобы толпу разрулить"
"Жақсы іс, мемлекетке қайтарылған ақша ел игілігіне жарайды ғо. Қимыл бар, бәрі дұрыс бағытта сияқты.",kz,,"жақсы іс, мемлекетке қайтарылған ақша ел игілігіне жарайды ғо. қимыл бар, бәрі дұрыс бағытта сияқты."
"дұрыс бағыт, елге жақсы болады бұл жұмыс",kz,,"дұрыс бағыт, елге жақсы болады бұл жұмыс"
"Жақсы, балалар көп болса мемлекет қолдауын ұлғайтып жатыр екен",kz,,"жақсы, балалар көп болса мемлекет қолдауын ұлғайтып жатыр екен"
Иманды болсын!!! Жақын туыстарына сабырлылық!,kz,,иманды болсын! жақын туыстарына сабырлылық!
Жергілікті бюджеттерге қосымша кірістердің түсуі дұрыс бағыт екен,kz,,жергілікті бюджеттерге қосымша кірістердің түсуі дұрыс бағыт екен
"ата-ана назарында болса, баланың жолы дұрыс болады",kz,,"ата-ана назарында болса, баланың жолы дұрыс болады"
"Аман-есен бәрі, өрт тез сөндірілгені жақсы екен",kz,,"аман-есен бәрі, өрт тез сөндірілгені жақсы екен"
"Сейчас не десантники нужны, а ракетчики и  операторы дронов",ru,,"сейчас не десантники нужны, а ракетчики и операторы дронов"
Хорошая попытка конечно. Но почему с марта месяца качество воздуха резко становится лучше? Может все таки тэц?,ru,,хорошая попытка конечно. но почему с марта месяца качество воздуха резко становится лучше? может все таки тэц?
"өздерің сақ болыңдар, мұндайға тез алданатын кез емес",kz,,"өздерің сақ болыңдар, мұндайға тез алданатын кез емес"
"Зачем нам голоса тех кто живёт и находятся в чужих странах, они явно не патриоты своей страны! нужно работать и отдыхать у себя в стране, развивать внутренний туризм и повышать потенциал внутреннего рынка путем новых проектов",ru,,"зачем нам голоса тех кто живёт и находятся в чужих странах, они явно не патриоты своей страны! нужно работать и отдыхать у себя в стране, развивать внутренний туризм и повышать потенциал внутреннего рынка путем новых проектов"
"қозғап жатқанның өзі жақсы, жарық мәселесі шешілер",kz,,"қозғап жатқанның өзі жақсы, жарық мәселесі шешілер"
"Если ноля в  нынешней ""календарной системе"" до и после нашей эры нет, то да. Сдвиг на единицу. Вы правы.",ru,,"если ноля в нынешней календарной системе до и после нашей эры нет, то да. сдвиг на единицу. вы правы."
"көңіл бөліп жатыр ғой, жағдай күрделі екен",kz,,"көңіл бөліп жатыр ғой, жағдай күрделі екен"
"Жақсы, елге адамдары аман-есен қайтып жатыр, уақтылы шара қолданылған екен",kz,,"жақсы, елге адамдары аман-есен қайтып жатыр, уақтылы шара қолданылған екен"
"Доллармен несуге компанияның кірісі тұрақты болмаса, қиындық туындайды",kz,,"доллармен несуге компанияның кірісі тұрақты болмаса, қиындық туындайды"
"Жақсы жаңалық, медицина дамып жатыр екен",kz,,"жақсы жаңалық, медицина дамып жатыр екен"
Қауіпсіздік бірінші орында ғой. Тыныштық керек бәріне.,kz,,қауіпсіздік бірінші орында ғой. тыныштық керек бәріне.
"Такие меры показывают, что государство поддерживает женщин на деле",ru,,"такие меры показывают, что государство поддерживает женщин на деле"
"Ну норм, пусть пока остаются, раз спрос есть",ru,,"ну норм, пусть пока остаются, раз спрос есть"
"халық банктің мәдениетке қолдауы жақсы бастама, елдің имиджіне де пайдасы тиеді",kz,,"халық банктің мәдениетке қолдауы жақсы бастама, елдің имиджіне де пайдасы тиеді"
"Құтты болсын, процесс жүріп жатыр ғо ",kz,,"құтты болсын, процесс жүріп жатыр ғо"
"По итогам года ,уже с десяток, дюжину школ надо будет построить",ru,,"по итогам года ,уже с десяток, дюжину школ надо будет построить"
"Важно, чтобы итоговый документ учитывал интересы общества и работал на практике",ru,,"важно, чтобы итоговый документ учитывал интересы общества и работал на практике"
Это сочетание политического лидерства и профессионального подхода.,ru,,это сочетание политического лидерства и профессионального подхода.
4 күнде 442 мигрант. Егер бір ай жалғасса әлі қаншасы шығады екен.,kz,,4 күнде 442 мигрант. егер бір ай жалғасса әлі қаншасы шығады екен.
Жақсы жұмыс істепті. Қауіпсіздік үшін маңызды ғо.,kz,,жақсы жұмыс істепті. қауіпсіздік үшін маңызды ғо.
"Дұрыс істеген, қазір осындай қолдау керек",kz,,"дұрыс істеген, қазір осындай қолдау керек"
"Сербиямен байланыс тереңдеп жатыр, АҚШ елшісімен де диалог бар — сыртқы саясат жаман емес, ал ГПЗ мен НПЗ-ға қатысты нақты жұмыс жүріп жатыр, Щучинскідегі жағдайға көмек көрсетіледі, фейкке де жедел жауап берді, жалпы, мемлекеттік құрылымдар бақылауда ұстап отыр бәрін",kz,,"сербиямен байланыс тереңдеп жатыр, ақш елшісімен де диалог бар сыртқы саясат жаман емес, ал гпз мен нпз-ға қатысты нақты жұмыс жүріп жатыр, щучинскідегі жағдайға көмек көрсетіледі, фейкке де жедел жауап берді, жалпы, мемлекеттік құрылымдар бақылауда ұстап отыр бәрін"
"Керемет көңіл-күй, чемпионды осылай қарсы алу жарасады",kz,,"керемет көңіл-күй, чемпионды осылай қарсы алу жарасады"
"Сербиямен байланыс нығайса, тәжірибе алмасуға жақсы әсер етеді",kz,,"сербиямен байланыс нығайса, тәжірибе алмасуға жақсы әсер етеді"
"Екі елге де пайдалы келісімдер болды, байланыс артады",kz,,"екі елге де пайдалы келісімдер болды, байланыс артады"
"Дружба с Европой через Сербию нормальный ход. Чем крепче связи, тем шире возможности для страны",ru,,"дружба с европой через сербию нормальный ход. чем крепче связи, тем шире возможности для страны"
Құдай сақтасын  . Иманды болсын.  Алла шипа берсін ,kz,,құдай сақтасын . иманды болсын. алла шипа берсін
Не думаю воз хорош наши врачи лучше,ru,,не думаю воз хорош наши врачи лучше
"мм, доллар мен евро өсіп жатыр ғо",kz,,"мм, доллар мен евро өсіп жатыр ғо"
"Это конечно большое событие. Печально что очень мало уделяется внимания спорту в нашей стране. Эта победа не благодаря, в вопреки. Браво таким людям, которые стремятся к своей цели",ru,,"это конечно большое событие. печально что очень мало уделяется внимания спорту в нашей стране. эта победа не благодаря, в вопреки. браво таким людям, которые стремятся к своей цели"
"Теперь в ледовых дворцах Астаны и Алматы будет не протолкнуться, все пацаны захотят быть как Шайдоров",ru,,"теперь в ледовых дворцах астаны и алматы будет не протолкнуться, все пацаны захотят быть как шайдоров"
"Пилоты, это про возить пассажиров. В экипаже военного самолёта летчики.",ru,,"пилоты, это про возить пассажиров. в экипаже военного самолёта летчики."
"Ауыл шаруашылығының дамығаны жақсы ғой, елге пайдалы болады",kz,,"ауыл шаруашылығының дамығаны жақсы ғой, елге пайдалы болады"
"Правильно делают, свое хозяйство қорғау керек",mixed,,"правильно делают, свое хозяйство қорғау керек"
"Михаил Шайдоров красавчик, осындай жеңістер керек бізге",kz,,"михаил шайдоров красавчик, осындай жеңістер керек бізге"
"Дұрыс, бастысы елшілік қарап отыр, азаматтарымыз аман болсын",kz,,"дұрыс, бастысы елшілік қарап отыр, азаматтарымыз аман болсын"
Сотрудничество МВД разных стран это еще и обмен опытом. Всегда есть чему поучиться друг у друга.,ru,,сотрудничество мвд разных стран это еще и обмен опытом. всегда есть чему поучиться друг у друга.
"Зима есть зима, к таким дням надо быть готовым.",ru,,"зима есть зима, к таким дням надо быть готовым."
"Е, бизнес әртүрлі валютамен жұмыс істеп жатыр ғо, жақсы өзгеріс сияқты.",kz,,"е, бизнес әртүрлі валютамен жұмыс істеп жатыр ғо, жақсы өзгеріс сияқты."
Қайғылы жағдай екен. Көлікте абай болу керек.,kz,,қайғылы жағдай екен. көлікте абай болу керек.
"Респект нашему за то, что гнет свою линию и выводит нас в топ мировых игроков",ru,,"респект нашему за то, что гнет свою линию и выводит нас в топ мировых игроков"
"Көрейік, бәрі заң аясында жүріп жатыр ғо.",kz,,"көрейік, бәрі заң аясында жүріп жатыр ғо."
"Апаттық жағдайға ертерек назар аударып, тұрғындарды қауіпсіз жерге көшіргені дұрыс болған ғой. Қалған подъездерді де тексеру керек енді.",kz,,"апаттық жағдайға ертерек назар аударып, тұрғындарды қауіпсіз жерге көшіргені дұрыс болған ғой. қалған подъездерді де тексеру керек енді."
