,text,language,label
156586,Не покидай нас Еремеев наурызбай батыр,mixed,
156597,"Вот Вы все тут обсуждаете наркоманка она не наркоманка, внебрачная беременность и т.д. Вы реально в курсе что произошло или нет? При всем при этом никто из Вас не задумывается о чувствах ее родных, которые могут наткнутся на эту новость. Думайте прежде чем что либо писать. Иманды болсын!!!",mixed,
156713,Мда треш  что за тупица слов нет акшадан олдынба каншык,mixed,
156791,Ну что голубая кровь Алмата Астана Шымкент что там что по времени))),mixed,
156801,Ассаламу алейкум Рахмат Рахмет братский народ Казахстана мы месте Сила Алга ,mixed,
156806,"Біздің халқымыз сондай, если у кого то беда, мы протянем руку помощи и это правильно",mixed,
156848,Мелкая рыбешка так сказать. Надо всех сажать и менять если на то пошло. Кантар аз болды ма? Енды инфляция средний классты в нищету вгоняют. Не деген маскара сидеть на работе и думать где бы подкалымить или переманить?!! ,mixed,
156849,Сажают тех кто не прогнулся под новый қазақстан ,mixed,
156865,"Homo locum ornat, non locus hominem",mixed,
157015,"Рассмссмееешиииил Когда весь город утыкал новостройками, теперь вдруг «переобулся»!!! Около плодика настроили 20-этажек, друг на друге сидят… кошмар",mixed,
157137,Құтты болсын!!! Профессионал своего дела!!!,mixed,
157204,"Это не Бекетаев сказал,а Абденов Серик  :-""Патамушта, патамушта"". Потом мемом фраза стала.",mixed,
157340,"Свидание за бабки, скорее выпили и башка отключилось может че ещё накатили",mixed,
157370,А если помер так сразу на органы распотрашат,mixed,
157900,"Это понятно, но оно же должно работать на благо государства. У нас вон сколько болашаковцев за 30 лет вышло, а результат где. Теперь за коррупцию сажают молодых",mixed,
157902,«34 »люди что за комментарии …. Иманды болсын….,mixed,
157925,"Всю жизнь во всем мире родители оставляли детей дома одних  и уходили на работу .  Мәлики были не кезде, а бабушки сиделки всем не по карману   .",mixed,
158109,"Ооо ғосподи, я теперь только об этом и думаю ",mixed,
158124,"А в Казахстане есть развитые города ? Кроме этого и Астаны хотя крупнее аты ничего нет тут , тут весь бизнес и все условия, куда ехать в степь ? Даже при землетрясениях тут все рости будет ибо ничего в стране не развивается два города остальное просто степь",mixed,
158231,ПОЖАЛУСТА КТО ЗНАЕТ КАК УСЫНОВИТЪ,mixed,
158315,"Иманды болсын!!! Какие ужасные люди здесь сидят какая разница вам каждый год она рожала или каждый день детей нету уже в живых диванные герой бога по бойтесь  у меня нету слов, ладно родители без ответственные но и здесь я не вижу адекватных людей",mixed,
158329,Иманды болсын совсем молодой. Жалко,mixed,
158332,"Такой молодой... такая невосполнимая утрата и боль для родителей,  родных и близких ... Иманды болсын ",mixed,
158404,"Я почувствовала, район Алтын Орды, 2й, этаж",mixed,
158500,Mne kazhetsya kto to sprygnul,mixed,
158517,"Правильно говорите… антикор Алматы 4 года назад незаконно посадили человека, а теперь не хотят признавать… в случае признания полетят головы опера, следака, прокурора и судей… теперь воюем Аллах все видит",mixed,
158553,"Правильно , нужно давео решатт эту ппрбоесу, стрлтко бподячих собак, стаями ходят! Просто кошмар",mixed,
158608,Вообще осы блогерсымақтарды құрту керек елді құртатын болды,mixed,
158738,"Зачем кучу одинаковых названий давать? Есть много всего что называется, например, Жібек жолы.",mixed,
158759,В новом Казахстане новый СУПЕРМЕН! УРАААА товарищщщииии,mixed,
158862,Это сын мэлиса елеусизова или нет,mixed,
159049,"Нее, в Актобе не надо. Кудай сактасын!",mixed,
159060,"Іле өзені, а не или , Енисей емес Енесай,Байкал емес Байкөл, Еділ,Жайық тоже под другим названием, Альпийские горы емес Алып тау, и так до Аргентины которые наши Арғыны(шутка) Камызяк_Камыстыөзек, Саратов_Сарытау, Тюмень_Төмен, Курган_Қорған,",mixed,
159100,Ваай 50 МРП мама мия санта лю чия,mixed,
159132,"Хорошо, завтра зарегистрируюсь в Хэд хантэр",mixed,
159187,Секир башка и нет проблем раз так,mixed,
159229,"Чем больше хапнул,тем меньше срок Устав Жана Қазақстан",mixed,
159428,7-8 жыл бұрын Синй кит ойыны кезінде утечка болған,mixed,
159503,Да здравствует BTS! Нью Джинсам слава!,mixed,
159528,"Давно пора, но в Алматы видно моржи",mixed,
159547,Иманды болсын  спасибо за ПОБЕДУ ,mixed,
159699,Где канал Асыл арна ?,mixed,
159786,"Ненадо скромничать и бояться, надо все вещи говорить своими именами. Для Қазақстана потеряна эпоха, возраст двух поколении.",mixed,
159868,"Жоқ нәрсеге дүрлігетін сауытсыз халқым ай - ол температуралық айрық, міндетті түрде болу керек. Онсыз көпір бұзылады. Мектептегі Физиканы оқыңдар қайталап, дүрлікпей. Температурный шов - обязательно должно быть.",mixed,
159951,"Не жай бог серьзной болезнью заболеть в такую погоду,,,пока довезут коньки откинеш.если вообще довезут.",mixed,
160022,Алла сактасын матерей от таких сыновей-падонков!!!,mixed,
160075,"У цыганов просит инвестиции? О дожили, ёхрани бабай.",mixed,
160193,"Бабки, основной электорат дяди вовы.",mixed,
160341,молодой организм должен выдержать  Алла шипасын берсін ,mixed,
160363,Везде в аэропортах Казахстана в приоритете air astana потом все остальные,mixed,
160464,Қатын би болады!  Ещё ушатын Қатын,mixed,
160528,"Это он тут герой, революционер - дома ему секир башка будет. Тихо и молча...",mixed,
160609,"Не айр а эйр, не кефир",mixed,
160620,"Давно пора возвращать билеты. Молодежь уже двух слов связать не может. Все ээээээ да мээээ. Хотя как говорят, Кесарю кесарево... Достаточно изучить для кого первоначально издавалась система оценивания с родни ЕНТ ",mixed,
160706,Альп Эр Тунга Эрсой молодец Коб Рахмет ты наш Герой,mixed,
160717,"MAN, Volvo, john deere, kamaz, iveco, Белаз, Daf, Scania, Renault, Dongfeng, Faw, Saic, - кто из них потребляет АИ-80???????????",mixed,
160825,Билет вечно жок. Кай кезде карасанда. Сосын 2 есе кымбатка шыгады. Ал вагоннын сапасына соз жок енди,mixed,
160827,Вот бы продукты тоже бағасы көтерілмесе,mixed,
160868,Встречаны почти толық көрдім. Сот пен прокуратураға шағымдар көп болды. Мына кісінің картинасы бір көңілді көтерді,mixed,
160886,"Байтерек, Самрук казына кто знает для чего их открыли и почему через именно их деньги народа и бюджетные средства выгоняет? Просто так чтоли",mixed,
160917,"Вы что сдурели ли,тогда  зимные виды спорта капут как жд,он жыл спорта даже копейки не оставить, кто выдвинул и его тоже отправить куда следует",mixed,
160948,У нас так любят свой народ как говорится бей своих чтоб чужие боялись надо же догадаться сделать две цены своим дороже а чужим дешевле  БІЛГІШТЕР,mixed,
160953,"По радио сказали,  в Алматы +6°",mixed,
160962,"Аузына АЛЛА, сыз деп сөйлейды! Нағыз мусулман, нағыз қазақ. На наше видео стыдно смотреть, сплошной мат",mixed,
161013,Если честно Токаев Қасым Жомарт Кемел ұлы старается возможно наши дети увидят лучше чем 30 лет ожидали,mixed,
161021,Сосын төлеалмайтын болғасын дополнительно 10-15 жыл қосып берсін,mixed,
161022,Плюс ещё әрі қайсысы маральный ушербке беру керек....,mixed,
161030,Потомушта не можем) бешбармачить можем- эт наше же.,mixed,
161108,Не жумысы бар біреудің қалтасында? Тем более чемпион,mixed,
161122,Не жұмыстарын бар?! Что тем других не осталось для обсуждения?,mixed,
161128,Гена своим трудом и потом честно  заработал  Кому какой дело Он прославил Қазақстан,mixed,
161162,Дұрыс!!! Кредитті кім көрінгенге не үшін береді? Значит - мошенникиермен сыбайлас деген сөз!!!,mixed,
161174,"А после всеобщего деклорирования каджый преступник будет знать сколько у вас денег под подушкой, потому что все это будет слито тому кому нужно.",mixed,
161273,Гыггы гы   . Валентину перепутали..,mixed,
161326,"Это Жетысуская обл участок Үшарал ,Достык ,Алакольский район",mixed,
161523,"Иманды болсын, это водилы такие у нас.",mixed,
161526,Мынауын провакатор жасап жатир урғанин дәлел жоқо,mixed,
161570,"Дұрыс болды, наконец то бірдеңе өспейтін болды",mixed,
161578,"Надо порядок наводить сверху вниз, а не снизу вверх. Не тогайте срений и малый бизнес, благодаря им народ выживает.",mixed,
161662,"бабушка говорила мне, покупай бетховен, Goldje, а я не слушал.",mixed,
161736,"Ай красавчик. Айтуарыч, кутты болсын. Молодец ",mixed,
161755,"На дороге все равны, наказывать в пример другим шышкам",mixed,
161791,Система закупок КТЖ самая отстойная. По полгодп ңичего купить не можем,mixed,
161903,В Қазақстане необходимо развивать отдельные сети водоснабжения. Это питьевое водоснабжение и вода для бытовых и технических нужд.,mixed,
162061,Да играждане его страны не такие бедные,mixed,
162281,С Косшы до Астаны ,mixed,
162346,Сэхэ пок мани падысэё! С корейским Новым годом!,mixed,
162610,"Сол ғой, директор железобетон в курсе, под подпись глав буха кеткен шығар... А так крайнего нашли и всё, это кз детка",mixed,
162680,Джо Пришел в гости в Түнгі студия))),mixed,
162779,А ЦЕНЫ КАК ВЫРАСЛИ?ЭТО ЖЕ ВООБЩЕ КОШМАР.,mixed,
162868,«…было *В* Madison Square Garden» ,mixed,
162869,"Иманды болсын. Что за операция? Мне тоже может надо делать, хотелось бы знать",mixed,
162903,"Қоймайды е бұларды, Антикордан мүлдем қорықпайды ғой, без страха через порталмен миллиондап тығып жатыр. Емое...",mixed,
162935,"Очень страшная трагедия, Иманды болсын",mixed,
162936,"Жандары жаннатта болсын, имандары саламат болсын. Так ждала новостей, что они живы...живыми их найдут. Но...",mixed,
162994,Везде были сады росли яблони алыча. Вырубили дома построили. Ну зачем туда  лезть. Алла сактай көр,mixed,
162997," Иманды болсын! Как страшно ,мирное время, а погиб ребенок...",mixed,
163001,17 лет парню жить да жить. Иманды болсын!,mixed,
163021,Это же надо столько брать. Алла сактай көр,mixed,
163058,"Ну да,все эти болашакеры-явление именно свободного рынка при капитализме.там ,где чем больше бабла  в карман положишь,тем больше ты молодец.",mixed,
163064,"Вам не кажется, Еболат аға, что не удерживает ситуацию. Надо дать оценку самому себе... Не помешало бы",mixed,
163069,"Аман есен надеюсь найдут Семью из под завал! Вот вот По этому Архитекторы Градостроители предупреждали Ведь!!!! В Выпуске репортажа Асхата Ниязова там даже местынй житель говорил разницу грунтовых слоёв, после Влажности Груната со склонов может сойти Земля и такими явлением мы видим в образе над горные оползни!!",mixed,
163090,"Не трави байки,фермеры до сих пор куралесят,Бельгийцы вчера чудили,из Германии вчера друг видос прислал, дальнобойщиком работает,стоит в заторах,тоскает запчасти в Баварию на БМВ.",mixed,
163110,Ужас . Пол советский кезіндеғі ғой.,mixed,
163115,Ээ всё барабер мен начальник мне ..... Нормальном все деньги есть .,mixed,
163124,"Алла сақтасын! А мы та думали, что только мужчины тираны",mixed,
163130,Да точно  дай всем терпение Иман болсын,mixed,
163213,"Мәселе ода емес қой ) негізі ол озі қай тілде сөйлесе де өзінін құқығы ) брақ дұрыс сөзіңнін мәні бар, брақ ақпаратты екі тілде ацқаны дұрыс",mixed,
163214,Переводчик барғой аударвалады керек адам ),mixed,
163251,"У нас же тут сидят все, ХеЙтЕрЫ ЗагНиВаЮщеЙ ЕвРоПы. Что ж ввы не довольны то все?)) Радоваться надо, меньше людей будет подвергаться пропаганде))) А то смотрю все приуныли что то",mixed,
163388,поездбен коп журемин.бирак бир отинишим осы жекеге бергендерди бир тексерсе жаксы болар еди.поезд емес иши мал кора,mixed,
163506,"Сопляки пишут на авто-әр қазақ менің жалғызым. Указываю на бедолагу-накорми его, подтверди надпись. Почему то агрессия появляется",mixed,
163567,"Отставка демей-ақ ,перестановка деп неге айтылмайды",mixed,
163582,"Кутты болсын, надеемся сфера торговли пойдет в гору если не вниз",mixed,
163595,"Онда доказала свою некомпетентность,из-за них пострадали пенсионеры-силовики,в отставку ее нужно отправить",mixed,
163609,Елимиздин туризмы осип оркендей берсин! Саттилик,mixed,
163690,"Кутты болсын! Настоящий руководитель, знающий свое дело! Болеющий душой за свою работу!! Удачи и успехов Вам!",mixed,
163716,Ажар поменяли. Теперь Акмарал Альназарова,mixed,
163785,Жана Казахстан версия 2.0 ,mixed,
163821,Ак жол в очередной показали из какой кормушки они питаются,mixed,
163838,"Ничего не выйдет с реформами пока на местах такие акимы как Султангазиев в Аоматинской области и Куматаев в городе Қонаев. Поэтому очень жаль нашего Президента. Идеи хорошие, но исполнения нет.",mixed,
163950,Хозяйственник нужен! Как Имангали Нургалиевич Тасмагамбетов!,mixed,
163952,"Аймагамбетов,  кто нибудь из акимов ,",mixed,
163959,"Аманаттың ұсынатыны ұнамайды,дені дұрыс біреу болса екен,жигули ма,москвич па біреу болмаса екен",mixed,
163970,Енди кимди кояд сол болады,mixed,
164351,Ну тогда пусть Шортан қаласы или Шортанды... Неге Абылай хан??,mixed,
164472,За wba ibf wbo надо идти,mixed,
164575,Тағы дастүр сияқты кино шығарасыздар ау уже ұрлау деген тема көтеріліп жатыр,mixed,
164695,Франция кагбы эээ собирается закрыватт АЭС.  Интересненько. Не находите?,mixed,
164708,Предлагать еткен баска шаруасы жокпа онын ,mixed,
164781,"Балл десе қорқатын болдық қой, хорошо что пробки",mixed,
164919,"надо бы давно, а то наши соседи Қырғызстан, Узбекистан, Туркменистан дорогу строить между собой и дальше в Баку",mixed,
164997,"надоел уже, жауып тастандарш, бизге ондай журналисттер керек жок",mixed,
165002,Давно пора отправить в отставку этих малограмотных  бастыков,mixed,
165075,"из за азаттык у нас было столько митингов, из за них люди погибают и это уже перешло все границы!",mixed,
165076,"они называют себя “азаттык” даже тогда, когда они подвластны Америке. Здесь не сходится",mixed,
165078,"Азаттык просто прикрывается ‘свободой слова’, а на самом деле тащит сюда влияние извне. Такие дела…",mixed,
165083,"Да, и помимо этого азаттык постоянно игнорируют запросы гос органов",mixed,
165186,Алматы не сравнишь с Астаной. Алматы керемет қала.,mixed,
165302,Пока…. Нет. Звучит обнадеживающе ,mixed,
165365,"Не бітірді осы уақытта?  осыдан кейін, әрине ел сенбейді",mixed,
165502,Двуа тэңгэ дам. как Казком выкупали,mixed,
165547,У нас в Шымкенте снег-1,mixed,
165572,А важные улицы.так сказать бастыкские.правительственные .на уборку этих улиц.золотого квадрата и т.д.,mixed,
165582,Говорят тот мұжық стал акушером-гинекологом после приема рода жены..,mixed,
165650,"Кош кордик, хорошим, дружеским визитам мы только рады, они всегда сопровождаются отличными планами и новостями",mixed,
165660,Пааааавлик) окончите школу для начала,mixed,
165723,"Как вообще напасть на скорую помощь в голове мысль допустить, что с человеком нужно сделать, как нужно психику и мораль извратить чтобы человек напал на 103?  Ұят не ұят, а это мы ведь, наша составляющая общества странно это.",mixed,
165893,Вот это да! Кутты болсын! Алга Казахстан!,mixed,
165963,"Не гоняйте люди,арты кайырлы болсын",mixed,
166528,Алла әлемді қауіп-қатерден сақтасын  Да хранит Всевышний,mixed,
166530,Неговорите что будет дальше думать страшно,mixed,
166538,"Мамашка ни разу не наседка.....куда смотрит, аузынды ашып...",mixed,
166910,Жалко пацанов экипажа и сорооаождающих ,mixed,
167042,Для эканома больше машин больше траты  и деньги  вот,mixed,
167119,Мы на уроказ сидим унас в комнате болшая трещина,mixed,
167149,Лудшэ диск или флешка ,mixed,
167273,Тоm PLagen про себя написал,mixed,
167369,Давно алып алу керек еді,mixed,
167670,"Блин, уже паранойя или нет, білмеймін ",mixed,
167682,Каждый сылтауға жауап дайын тұрады әйтеуір,mixed,
167683,"Там один оператор каждому написал,поэтому не успевал. Біздің басшылықтың отмазкаларына сөз жоқ!!!",mixed,
167797,У мен кот орал минут за 10 до случившегося,mixed,
167826,"Знали и не сказали населению, а теперь …бла… бла… бла..",mixed,
167890,Так это не у наааас,mixed,
167893,Молодцы пилотыреакция у всех  Аман болайық ,mixed,
168020,Не выда и не лада,mixed,
168021,и похавать анау мнау будет,mixed,
168061,"Назарбаева Макатаева, движение как днём",mixed,
168109,"Не говори , сама откуда?)",mixed,
168128,"Откуда знают будет повтор или нет , бір Алла біледі",mixed,
168194,"Прошла через нас, цель Кыргызстан, например",mixed,
168230,На всё воля Аллаха деп спокойно засыпайте,mixed,
168248,Район ЖК Алтын шар шатались нормально,mixed,
168321,Всем мира и добра  аман болайық ағайын,mixed,
168343,"Жан тәтті бәрінде, я даже из дома не вышла ",mixed,
168498,Зик зик ...и ты не физик,mixed,
168575,На Аль Фараби авто пати уже,mixed,
168633,эх завтра в шарагу да на работу,mixed,
168659,"О Аллах, храни наш народ! Амин ",mixed,
168700,"Турецкие землетрясение дошли до средней Азий готовьтесь жігіттер мен кыздар тряснеть до 6-9 баллов,  особенно юг атырау актау сильно пострадают грубо смятение со землей.  Кызылорда там качают нефть воду не заливают не наполняют там будет хлеще",mixed,
168722,@akimat_almaty @openalmaty @tokayev_life @tokayev_online @tokayev_life,mixed,
168736,Жер сілкіну Шуда да сезілді,mixed,
168830,Супер! Поздравляю Вас от души! Успехов и процветания казахстанской науке! Жолыныз ак болсын!,mixed,
168939,Вот именно. Не зря же говорят баланы бастан,mixed,
168980,Тек Ломтадзе ға претензия жоқ! Қалғаны полностью прогнившие Нақұрыстар,mixed,
169009,Жалко. Кушаем кызылординский  рис. Лишь бы совсем не исчез.,mixed,
169030,"Там в статье было написано свыше 9000 детей, и теперь представьте, они все уже позарастали, и если массово будут судиться с Казахстаном, что их не по своей воле продали зарубеж, оңбаймыз.",mixed,
169032,"Я смотрела подкаст с Қымбат Досжан. То что следят и есть контроль, помогают, это направда. На примере Эди-Жәнібека Савельева. Далеко ходить не надо.",mixed,
169102,"Они работали в это время на пути , иманды болсын жақындарына көңіл айтамыз",mixed,
169121,"Шемонаиха, Курчум, Глубокое… Это точно в Казахстане? ",mixed,
169125,А еще лучше Жигули Дайрабаева,mixed,
169130,"Знаю много мужчин, где именно жены оттяпов имущество живут припеваючи, а мужчины на улице на трёх работах, только на долги работают. И у них нет просвета. И это в основном трудяги, қарапайым ер кісілер.",mixed,
169138,"Как интересно он должен будет платить алименты если его лишили зароботка абсурд.Есть поговорка :шәш ал десе бас лады(попросишь постричь ,а он голову отсечет )",mixed,
169191,"Молодцы, жарайсыңдар. Полиция қызметкерлеріне үлкен алғыс.",mixed,
169199,"Шутка юмора, товарищ майор, понятно.",mixed,
169203,"Хорошо хоть сын остался жив, а то переживала, думала он тоже был с ними. Иманды болсын ",mixed,
169384,"Хм, в Шыме весна +15",mixed,
169417,"Эта компания нур жолы еще с тех времен стартовала, поэтому нур",mixed,
169423,Насчет Актау не правильно !,mixed,
169429,"Тауих надо  сажать, это же ерунда вымога ельство??!!",mixed,
169475,"Вспомнила свое детство. Когда болела и лежала в больнице, а Папа (марқұм), с командировки привез мне красный апорт, сочный. Я почему-то сразу вспомнила этот момент. Вкус даже.",mixed,
169558,"қашып қайда барады осылар, все равно ұсталады",mixed,
169559,Вот и за шары поймали) Усталмаймын деп ойлаган шыгар),mixed,
169661,"Враги Каз. Народа, ставят дизлайк.",mixed,
169916,"Осында отырған жүздеген адамдар тек кемсітіп,жаман жағын жазуға тырысып  отыр да..Рахмет,участковыйға..а,вед мог бы сказать “не знаю,не в курсе” и идти по свойм делам. А,он поехал в такую погоду спасать людей...Молодец!",mixed,
170042,"Не мужик,ни баба, существо ёпта)",mixed,
170063,"Орамалға қарсымыз, бірақ гей клубка рұқсат",mixed,
170108,Осындай депутаттар коп болсын. О то процент санап кеттік,mixed,
170278,"Рынок потребления мяса в стране малый, если рсньше узбекисьан выметал все,теперь тишина, производственные мощности работают в лучшем случае на треть. Чтотты мне рассказываешь,тебе на диван только сегодня ситуативные методички скинули,а я живу в этой теме",mixed,
170422,"Байден харам ба? Добрый Байден, не добрый Байден, снигерс жейтин Байден, кока қола ишетин Байден......",mixed,
170698,мчс те дұрыс техника жоқ екен,mixed,
170721,Поправился наш премьер.. орны жағып жатқан да))),mixed,
170862,"Лучше бы инфраструктуру поменяли по Кз, гниет все , пол страны без отопления и воды, летом без света, чем эти боққада керек емес темірді дәм болсын туда сюда тасып, салыб, алыб, жасаб.",mixed,
170904,Был Награжден орденом «Даңқ» II степени в 2017 г. ,mixed,
170911,"ЕСЛИ ЗАКРЫЛИ,НАДО ДОКОНЦА ЗАКРЫТ НАДО",mixed,
170918,"Правильно, нам Сатти Жулдыз хватает. Тем же самым занимаються",mixed,
171016,Да made in China звучит уже намного надёжней ,mixed,
171026,"Раньше кое кому и нөкерлеріне ұнамаған,поэтому  так и ногами,руками противостояли,слава Богу данный момент он выше тех кто противостоял и будущем его возвысит на рудный уровень!",mixed,
171067,Вообще то они работают по лицензии сатти жулдыз,mixed,
171130,Рухани жангыру всем  в помощь,mixed,
171134,"Республиканский тир Отан, на мехпоселке, г Алматы!",mixed,
171280,"А вы как хотели... Усё , ваше дело труба...",mixed,
171310,Жастар жок па не коятын анау шол болды гой уже,mixed,
171319,"Ой ёй ёй , бегите с Алматы ! Пиииииисец вам там всем скоро будет  это предсказала сама бибигуль сырбыр кызы !!!",mixed,
171556,Земля пухом ! Скорбим ….,mixed,
171562,Иманды болсын. Уходит старая гвардия,mixed,
171563,Иманды болсын. Лучший артист России и СССР,mixed,
171564,Иманды болсын  очень жаль...,mixed,
171631,"Рынок Барыс-IV Алматы - тариф ""на Новый год"", для отечественных производителей, поставляющих на базар. При попытке выяснить, что за тариф такой ""на Новый год"", объяснили ""На верх"". Объясните, что за такой тариф",mixed,
171787,52 ляма на ветер деген осығой,mixed,
171852,"Иманды болсын... Признаем честно, родители - антипрививочники, фактически убили своих детей.",mixed,
171881,"Алтынай, если вас заставили - поставьте сердечко",mixed,
171912,Мя саған..это ли Казаһстан..то детей отец убивает..то родственицы жены..то жену. Что с людьми..твари,mixed,
171975,"Хочешь жить, умей вертеться деген күн туған ба қазақтарға?",mixed,
171980,"Только светлого пути Дастану, пусть по-жизни встречает понимающих людей. Ак жол Дастан",mixed,
172065,"Я казашка,  атым Қарлығаш. Все семь предков жили в Казахстане. И уезжать не собираюсь. А вы так и не ответили откуда вы. Вам бы выдохнуть везде Украину видите.",mixed,
172095,"ужасс,  өрттен зардап шеккендерге көңіл айтамыз",mixed,
172108,қауіп қатерге бастарын тігіп жатқан құтқарушыларға респект,mixed,
172136,"ең ауыр мамандықтардың бірі осы кісілердікі, обидно по идее если әр адам қызметін дұрыс атқарғанда басқаша болар еді , енді заң алдында жауап берсін",mixed,
172154,"Казахи Аман болсын), научили байкусты на свою голову! Наверное еще приговаривали: ештенке болмайд, отвечаем! Деп…",mixed,
172190,"Молодец. Но, котн кысып уйде отырмайма",mixed,
172191,Оо это круто .Малика а в народе Жолдыбала  аман болсын,mixed,
172263,Талдык он суров! Живет по своим правилам.,mixed,
172294,"Құтты болсын! Поздравляю! Новому Казахстану-новые руководители, такие как Рустам Алиевич, эрудированный, грамотный, креативный!",mixed,
172295,Круто Рустам ағаның батасы маған буйырсын,mixed,
172397,Жатқан адамды аяқпен тепкен нес. Южан деген осы. Екеу ещё жазылып теуатр.,mixed,
172399,В армии « зоновские законы» ….,mixed,
172480,күн жарқырап түр.  бұл не дистансонкада  білім болад ма?,mixed,
172501,"Так задержали его или только начали досудебное расследование? Антикор говорит задержал, Казавтожол говорит не задержал... Ромашку устроили ",mixed,
172545,"Вторая наша красавица, победила в этом году, құтты болсын ",mixed,
172595,Кутты болсын  всех с рождеством!),mixed,
172614,Я Атеист! Тоже с уважением и от чистого сердца поздравляю всех Христиан Рождеством! Казахстан жасасын,mixed,
172632,Каз Авто жол дегенді естігім жоқ!,mixed,
172709,"Президент!, обратите внимание на Талдықорған, что там происходит",mixed,
172792,дым техника жоққой бәрін жегенба,mixed,
172916,Покажи мне в пдд этот знак?  И какой закон приняли? Тока а инсте пишут чұш всякую а люди ведутся как бараны.,mixed,
172920,"ИГИЛ - сунниты, Иран - шииты...",mixed,
172931,"Например Куаныш Бейсеек,Кана Бейсекеев,Малик Зангар",mixed,
172935,Все мы принадлежим Аллаху и к Нему наше возвращение. Иманды болсын ,mixed,
172937,Иманды болсые! Свои же сдали…,mixed,
173063,Не болсада түрі дерзкий екен,mixed,
173071,Еңбегін багаламайды олардын. График плотный,mixed,
173144,Павлодарским нужно дарет алуга у них всегда чтото,mixed,
173214,Намыстар қайда жигиттер ??? Көп сөйлеп кеттіндер! Болтовня пустая!,mixed,
173217,Плевать на Локо. Они себе плей-офф почти обеспечили. А вот Барыс проиграл.,mixed,
173328,Денег нагреб и деру дал,mixed,
173408,"Темірхан, знаете почему жители не полагаются на наши банки? Нет гарантий что банк не обанкротится как было со многими нашими банками, кроме банков Назарбая вроде Халық. Так это уже его собственность.",mixed,
173480,"Если для всех,а то для богатых один закон а для работяг другой законищеее",mixed,
173597,5 жасар Айкоркем туралы барма? или коментарии мой как всегда удалят?,mixed,
173621,Типун на ваш язык  ниетиниз даман екен ,mixed,
173668,"Мляяя, не говори. Достало болеть.",mixed,
173698,"Помню, иманды болсын. Судьба .",mixed,
173718,Ич ней сан цзей гоу рокко сич хач кю дзу,mixed,
173876,"Всех предупреждали ведь, не выезжайте, не выезжайте деп. Нет, прут и прут  а потом еще претензии высказывают, Казавтожолу на нас наплевать деп, ұялмай қызармай ",mixed,
173888,"Иманды болсын, примите мои соболезнования родственники и близкие погибших!",mixed,
173894,Аманшылық болсын....сидите дома....встречайте НГ онлайн,mixed,
173967,Аллох рози булсин кардош халкимиздан!,mixed,
173968,Спасиба братям казахам за помош пуст аллах наградит,mixed,
174064,"Интересно почему, его лепший друг  ермектурсунов,именующий себя совестью.нации так резко про него забыл",mixed,
174067,Дело Ванги живее всех живых!!!,mixed,
174125,А оборудование не с мфца разве? Значит у выше поставленного бастыка свиснул,mixed,
174140,"Пусть отдыхает , кто кто он лично заслужил ! Даже если ещё раз проиграет ничего страшного ! Генағой - Родной !",mixed,
174151,"Жер аударып тастау керек бұл оңбағандарды, бұларды қамағаннан толко жокко қаншама ақша шығындап",mixed,
174153,"Бәрін ұстау керек , бұлар явно пешкалары ғой , бұларды да біреу айдақтап отырғо",mixed,
174154,Жигиттер молодцы. Жұмыстарың ел тыныштығын сақтауда еселене түссін.,mixed,
174273,"Последние лет 7-8 слежу и болею за сборную Казахстана,наконец команда стала показьівать красивьій футбол и обьігрьівать сильнейшие командьі Европьі,желаю Казахам вьіходить на все ЧЕ и ЧМ ,,,, мира Вам ,и Счастья ! Привет из Украиньі",mixed,
174311,"Да что за формулировки ""должны"" то, ""должны"" сё. ""Должны"" язык знать, должны за свет, должны за газ,  Халық Құдайдың тегін берген ресурстарын алып жатыр, ал біз бәріне салық төлеуіміз керек. Мүмкін басқа би үшін полька немесе украин хопағын билей аламын. А не пойти ли вам, господа, вдоль по Питерской,Питерской, Питерской...",mixed,
174312,Последняя строчка- как так мы такие бабки гробим. А Барыс полный 0000. Так как мы последние в этом хоккее. Вообще он нам не нужен и не нравится,mixed,
174421,"Турбулёнтность в Эйр Астана и её ""дочки"" -Қазақ эйр?",mixed,
174427,"ұстап тұрса тұрар нен бар бомайтын нәрсені қатың сияқты өсектеп? Миынды басқа нәрсемен дамытсандарш, дым развития жоқ, тек бір бірін артың шұқылау",mixed,
174436,Дәретханада унитаздың крышкасын ұстап тұрады гарантия,mixed,
174599,Соответственно Талдыкурган- Астана тоже отменили),mixed,
174619,"Поэтому, мне и не понятно, почему народ РФ, так на именно ""Эту вечеиинку, так отреагировал ",mixed,
