text,rating,language
"Очень удобная. Материал приятный. Просвечивает, но не проблема.",5,ru
"Футболка очень хорошая, идет размер в размер, ткань мягкая и приятная телу, за свои деньги просто потрясающая.",5,ru
"Классная и качество хорошее, за подарочек отдельное спасибо.",5,ru
Отличная футболка.,5,ru
Качество просто топ.,5,mixed
"Отличная футболка, качество супер, спасибо что есть магазин Кaspi, пришло очень быстро и качественно, футболка просто супер, размер подошёл в точь-в-точь.",5,ru
"Качество супер, тура өзімнің размерім келді, рахмет Алуға кеңес беремін.",5,kaz
Как на фото. Классный. Размер 42 для дочи 10 лет.,5,ru
"Купила дочери, ей очень понравилась, ткань хб, очень качественный, приятно к телу. Спасибо Kaspi и курьеру, за доставку.",5,ru
Ұнады рахмет.,4,kaz
"Очень красивая и удобная футболка, качество хорошее. За свою цену очень классная.",5,ru
"Материал хороший. На рост 163, вес 54 заказала 42 размер. Ровно подошла. Спасибо!",5,ru
"Футболка отличная, я заказала 42 размер белую и чёрную, немного маловаты, стоило заказать 44. Так что берите на размер больше. А так качество шикарное, мне понравилось.",5,ru
Өте әдемі келді рахмет және уақытынан бұрын келді.,5,kaz
"Короткая и полностью просвечивает. Футболка ужасного качества, размера там нет, он стандартный на 42, если вы 44-46 вам будет маленький размер.",1,ru
Материал жақсы бірақ осылай дақ болып келеді деп ойламадым тик токтан қарап заказ бергенім қате болған секілді әр товарды саларда мән беруге болады ғой.,2,kaz
"Качество плохое, мой замер 42, пришёл в 3 раза меньше.",1,ru
"Мне нравится, да просвечивает, но мне пойдет, наверное кому то маломерят, но мне все ровно.",5,mixed
Сапасы төмен.,1,kaz
Футболка хорошего качества.,5,ru
Качество нашар.,1,ru
Качество хорошее.,5,ru
Качество прям супер.,5,ru
"Качественный материал, украсила сидит на теле.",5,mixed
Супер.,5,kaz
Матасы күшті.,5,kaz
Тура келді.,5,kaz
"Хорошая, доча говорит длинновата.",5,kaz
Сапасы жақсы екен.,5,kaz
Хорошая футболка и размер подошли.,5,ru
"Матасы жұмсақ, денеге жағымды. Уақытында келді.",5,kaz
Размер идеальный. Посадка удобная. Смотрится аккуратно.,5,ru
Качествосы күшті.,5,kaz
"Товар уақытында келді. Качествосы күшті, маған ұнады.",5,kaz
Қызыма ұнады. Уақытында келді.,5,kaz
"Хс заказ бердім, М келді, матасы жақсы.",5,kaz
Качество огонь.,5,ru
Күшті.,5,kaz
Очень хорошего качества.,5,ru
"Сапасы күшті, размер тура!",5,kaz
"Күшті, қатты ұнады. Сапасы да жақсы.",5,kaz
"Тура ойлағанымдай, топ!",5,kaz
Футболка хорошего качества. Берите именно у этого продавца. Дочке понравилась.,5,ru
"Ұнады, качества топ.",5,kaz
Классная футболка.,5,kaz
Өте әдемі. Материалы күшті екен. Мен ойлағаннан да әдемі болып келді. Рахмет.,5,kaz
Супер.,5,kaz
Классная футболка.,5,kaz
Сапасы күшті.,5,kaz
"Классная футболка, все подошло по размеру.",5,ru
"Самая обычная футболка, просто супер за свою цену.",5,ru
Хорошее качество. Спасибо.,5,ru
"Жақсы, өте удобно, жинақы.",5,kaz
"Качество хорошее, классная за такую цену.",5,ru
"Круто, прям шик.",5,mixed
Бағасына сай.,4,kaz
Качество.,5,kaz
Материалы жақсы.,4,kaz
Качество супер.,5,ru
Качество не очень.,5,ru
"Очень приятное качество, мне понравилось.",5,ru
Жақсы сапасы.,5,kaz
"Очень приятный, мягкий.",5,mixed
Темааа.,4,kaz
Футболка ұнады.,5,kaz
"Размер подошел, отличный.",5,ru
"За такую цену не ожидала, качество супер.",5,ru
"Өте күшті, размері тура келді, ұнады.",5,kaz
Жақсы.,5,kaz
"Күшті, матасы да жақсы.",5,kaz
Материалы кушти.,5,kaz
"Әдемі келді, ұнады.",5,kaz
Классно.,5,kaz
Понравилось.,5,kaz
Прям күшті матасы. За такую цену прям топпп. Но скимс алғыларыңыз келсе өзіңіз киетін размерден де 1-2 размер кіші беріңіз.,5,mixed
"Идеальные, но оказалась размером ошиблась немного, но все равно сидит на мне очень хорошо.",5,ru
Классное качество.,5,ru
Качество хорошее.,5,ru
Качество супер. Второй раз заказываю.,5,ru
В размер брала xs подростку.,5,ru
Хорошего качества.,5,ru
Материалы жақсы.,5,kaz
Футболка подходит для шестиклассницы. Классная футболка.,5,ru
"Качество хорошее, размер подошёл.",5,ru
Қызыма ұнады.,5,kaz
Темма.,5,kaz
"Классная за свою цену, но потеть точно в ней буду, материал сам по себе такой.",5,mixed
Күшті болып келді алыр алыңыздар ещо арзан.,5,kaz
Күшті.,5,kaz
По размеру.,4,ru
Керемет.,5,kaz
"Мне очень понравились, ткань приятная.",5,ru
"Сапасы өте жақсы, әдемі. Маған ұнады рахмет!.",5,kaz
Качество очень хорошее.,5,ru
Өте жақсы.,5,kaz
"Әдемі келді, материалы да күшті.",5,kaz
Жаксы.,5,kaz
"Очень мягкая ткань, спасибо.",5,ru
Өте күшті.,5,kaz
По качеству очень мягкая и приятная к телу.,5,ru
"Хороший, но немного просвечивает, но за такую цену хорошо, худым девушкам советую брать размер 42 идеально.",4,ru
"Өте әдемі, материалы жақсы, рахмет Каспи магазин.",5,kaz
"Қызыма алдым, матасы өте жақсы. Ұнады бізге.",5,kaz
Хорошая.,4,kaz
Өте керемет жұмсақққ.,5,kaz
"Все просвечивает, качество 2/10.",1,ru
Качество отличное.,5,mixed
"Красивая, доче понравилась.",5,kaz
Материялы өте нашар.,1,kaz
Доче понравилась.,5,kaz
Қыздарым ұнады. Сапасы өте әдемі.,5,kaz
Классный.,5,kaz
Всё. Быстро доставили и мне понравился ковто. Спасибо огромное.,5,ru
Отличная футболка за свою цену.,5,ru
"За такую цену даже ничего можно, покупала дочке.",5,ru
Күшті екен.,5,kaz
Матасы ұнамады бірақ суреттегідей.,5,kaz
Супер.,5,kaz
Классно.,5,kaz
"Кофта күшті, арзан, сапалы, 3 қызыма да алдым.",5,kaz
"Вообще за такие деньги шикарная футболка, ткань приятная, красиво сидит, приталенно, размер в размер, но тянется.",5,ru
Классно очень.,5,kaz
"Дочке понравился, думаю синтетика.",5,ru
"Все хорошо, по размеру.",5,ru
Просвечивает.,1,kaz
Бағасына сай.,4,kaz
"Қызыма ұнады, качествосы жақсы.",5,kaz
Сапасы керемет емес. Бағасына сәйкес.,4,kaz
Классная футболка.,5,kaz
"Недавно приобрела футболку и платье в этом магазине. Вещи стильные, хорошо сидят, качество отличное. Обслуживание приятное, помогли с выбором. Рекомендую!",5,ru
Қатты ұнады.,5,kaz
Өте әдемі бағасына сай алуға кенес берем и уақтынан бұрын келді Каспи магазин ге рахмет.,5,kaz
Материал имба.,5,ru
"Удобная приталенная футболка, ранее брала другой цвет - решили повторить свой заказ.",5,mixed
"Классно, дочке понравилось.",5,kaz
Жаксы.,4,kaz
"Качество супер, алсаңыздар өкінбейсіздер.",5,ru
Спасибо,5,ru
Классная футболка.,5,kaz
"Ұнады, рахмет әдемі.",5,kaz
"Цена, качество.",5,ru
"Отличный товар, качество тор.",5,ru
"Приятная к телу, качественный материал. Классная скимс футболка, 10/10.",5,ru
Ойлағанымдай шықты.,5,kaz
Качество супер.,5,ru
"Неплохая футболка, немного просвечивает.",3,kaz
"2 рет алып жатырмын, жақсы өз бағасына сай.",4,kaz
"Качество хорошее, подошло дочке 13 лет 42 размер, синтетика, но за такую цену понятно. Но смотрится как на фото.",5,ru
"Футболка очень тонкая, просвечивает. А так под чем то можно надеть.",5,ru
Очень хорошая футболка.,5,ru
Очень сильно просвечивает.,2,ru
"Өте керемет екен, қызымның ойынан шықты.",5,kaz
Керемет. Бағасына сай.,5,kaz
"Пришли вовремя, но на одной какие то точки, а так хорошие.",5,ru
"Футболка күшті, нормальной матасы да жақсы, бірақ өзім үлкенін алып қойыппын.",3,kaz
"Күшті, өзіме қатты ұнады.",5,kaz
"Матасы керемет, ұнады қатты.",5,kaz
"Качество супер, за такую цену размеры верные. Заказала еще две.",5,ru
Хорошая футболка. Купила дочке.,5,mixed
Очень стильная.,5,ru
Күшті футболка.,5,kaz
"Футболка хорошего качества, класс.",5,kaz
Качество отличное. Екеннн.,5,mixed
Товар пришел вовремя! Качество очень даже хорошее за такую цену. По размеру все подошло.,5,ru
Качество хорошее!,5,ru
"Футболка стоит своих денег, но нужно брать на размер больше.",4,ru
"Как раз по размеру, спасибо большое.",5,ru
"Матасы жақсы, жұмсақ.",5,kaz
"Немного просвечивает, но качество хорошее, село идеально.",4,mixed
Размер не подошел.,4,ru
"Жақсы алуға кеңес беремін, өз бағасына стоит.",5,kaz
Күшті боп келдi сапасы.,5,kaz
"Качество превосходное, настоятельно рекомендую приобрести.",5,ru
Хорошее.,4,kaz
Сапасы күшті.,5,kaz
"Синтетика, ужасно неприятная к телу. Странно сидит по фигуре из-за рукавов.",1,mixed
Очень хорошие.,5,ru
Отличная футболка.,5,ru
"Классная футболка, спасибо за подарочек.",5,ru
"Ужасное качество. До этого брала чёрного цвета, там намного лучше качество. А здесь голимая синтетика. Даже своих денег не стоит.",1,ru
"Очень круто, качество супер.",5,ru
Супер футболка.,5,kaz
"Понравилось дочери. Ткань качественная. Сколько раз стирали, не скатывается.",5,ru
Качество топ.,5,ru
Сапасы жоғары.,5,kaz
"Классная футболка, дочке понравилась.",5,kaz
Прям күшті матасы.,5,kaz
Качество футболки отличное!,5,mixed
Жақсы качествосы.,5,kaz
Өте күшті но дәууу.,5,kaz
Качество хорошее.,5,ru
Качество.,5,kaz
Спасибо. Доставили вовремя товар.,5,ru
"Фктболка күшті, качество, размер бәрі күшті.",5,kaz
"Супер материал, советую, очень понравилось, спасибо Каспи.",5,mixed
Качество классное и цена.,5,ru
"Очень хорошая футболка, приятного материала.",5,mixed
Футболка вообще не оттягивающаяся.,1,mixed
"Екінші рет алып жатырмын, өті күшті ыңғайлы тұрады, екінші бергенімде XS бергенмін сіңіліме, S салыпты, бірақ болады.",5,kaz
Качество.,5,kaz
"Больше синтетики, чем хлопка.",3,kaz
"Сапасы жақсы, ұнады.",5,kaz
Качество күшті. Сразу үш түрлісін заказ бердім Aiym_collection магазинынан.,5,mixed
Материал классный цена стойт,5,ru
Классный.,5,kaz
Качество отличное.,5,mixed
Отличная футболочка! Доче очень понравилась. Для школы под пиджак самый подходящий вариант.,5,ru
"Футбока ұнады, рахмет, матасы күшті.",5,kaz
"Футболка пришла идеальная, хорошее качество, размер тот.",5,ru
Качествосы өте күшті.,5,kaz
"Супер, классно качествасы жұмсақ и қаттыда қалын емес маған қатты ұнады советую всем.",5,mixed
Просвечивает.,4,kaz
Не очень свободна тұрады.,1,mixed
Качество отличное.,5,mixed
Качество хорошее и материал тоже! Спасибо!,5,ru
"Качество хорошее, мне подошло. Спасибо AIYM_COLLECTION.",5,ru
Супер качество.,5,ru
"Ужасно. Дақ болып келді, сонша күтіп едімм.",1,kaz
"Хороший скимс, отлично подошел дочке.",5,mixed
Товар очень понравился. Футболка в хорошем качестве. Быстро доставили. Спасибо продавцу.,5,ru
Качество отличное.,5,mixed
Тура фотодағыдай бағасына стоит,4,kaz
Очень красиво.,5,ru
Футболка понравилась. Качество супер!,5,mixed
"Качество супер, но есть нюанс просвечивает.",5,ru
"Немного просвечивает, но норм, так как много футболок просвечивает. Нравится материал, но немного запах есть кажется от производства. Но сестренке запах понравился. До этого купила черную от этого магазина, как тот тоже понравилось.",5,ru
Товар уақытында келді. Футболка ұнады керемет.,5,kaz
"Футболка красивая, дочка довольная!",5,kaz
"Скимс сияқты болат деп ойлап едм, качество онша емес.",2,kaz
"Классная футболка, приятное качество.",5,ru
"Материал хороший, понравился.",4,ru
"Футболка ұнады, Каспиге және сатушыға рахмет!.",5,kaz
Қызыма өте ұнады. Дәл келді. Рақмет.,5,kaz
"Футболка просвечивает, а так все отлично!",5,mixed
"Классная! Качество отличное, будем заказывать ещё.",5,ru
"Мне очень понравилось, пришел вовремя. Материал и не плотный и не слишком мягкий самое то. Заказывала 42 размер.",5,ru
"Футболка күшті болып келді, матасы да жақсы, көп.",5,kaz
"Очень понравилась, отличное качество за такую цену.",5,ru
Качество шикарное.,5,ru
Хорошего качества! Рекомендую.,5,ru
"Спасибо за подарочек, но футболка не понравилась, ну хотя по такой цене она соответствует.",2,ru
"Хорошая, но просвечивает.",5,kaz
Идеально.,5,kaz
Размер большемерит.,4,ru
Качество соответствует своей цене.,5,ru
"Классная футболка, прям как на фото.",5,ru
Товар полностью оправдывает свою цену. Покупкой довольна. Рекомендую!,5,ru
Качество топ.,5,ru
"Качество хорошее, стоит своих денег, мне понравилась.",5,ru
"У футболки качество просто супер! Красиво облегает фигуру, 10/10!",5,mixed
Качество топ.,5,ru
"Красивые, лёгкие, советую всем.",5,kaz
"В целом красиво, но немножко просвечивает.",5,ru
"Заказала свой размер, но маленький.",4,ru
Нормально.,4,kaz
Футболка качество жақсы. Бірақ размер кішкентай. 42 размер взрослыйларға бармайды. Детский размер екен.,5,mixed
"Матасы күшті екен, размері тура келді.",5,kaz
"Очень хорошая футболка за такую цену, мне понравилось.",5,ru
"Футболка понравилась. Ожидала худшее качество за эту цену, но классная пришла. Спасибо за быструю доставку раньше срока. Тағыда заказ береміз. ModaZone рахмет!",5,ru
"Просто супер футболка, очень понравилось.",5,ru
"Материал хб, нежная, чисто белая.",5,ru
"Быстро доставили, покупала сестренке, размер подошел. Спасибо!",5,ru
"Материалы күшті, приятный, ұнады!",5,kaz
"Өте күшті, маған ұнады.",5,kaz
"Очень хорошее качество, мне очень понравилась.",5,ru
"Размер дәл келді, рахмет, тез.",5,kaz
"Заказала 2 футболки в разных цветах. Дышащая ткань, легкая, на лето самое то. Смотрится просто пушка! Заказ пришел раньше срока.",5,ru
"Өте күшті, жұмсақ, советую.",5,kaz
"Понравилось, хорошо.",5,kaz
Все понравилось.,5,ru
"Первый раз заказала что-то с Каспи, думала будет не очень, но футболка прям классная.",5,ru
"Сапасы өте жақсы, ұнады.",5,kaz
"Покупаю уже 4 футболку. Брала до этого розовую, синюю и желтую в магазине Medin. Качество было очень хорошее. В этот раз взяла в этом магазине, качество футболке плохое, синтетика, просвечивает. Пришла без бирки. Три звезды только за быструю доставку.",3,ru
Очень сильно просвечивает.,1,ru
Супер футболка.,5,kaz
"Пришла как на фото, материал хороший.",5,ru
Фудболка хорошего качества.,5,ru
Очень супер.,5,ru
"Качество мощное, супер классно.",5,ru
"Футболка очень хорошего качества, мне понравилась.",5,ru
Качество супер прям.,5,ru
Грязный.,1,kaz
"Керемет, денеге өте жағымды мата. Уақытынан ерте жеткені үшін, алғысым шексіз.",5,kaz
"Товар очень качественный. Брала старшей дочере, теперь младшей. Спасибо.",5,ru
Качества күшті но кішкене маломерит,5,kaz
Ужасно просвечивает.,1,kaz
"Немножко просвечивает, но классная, стоит своих денег.",5,mixed
"Әдемі, материалы жақсы. Тек астыңғы жағы ұзындау болып келді.",4,kaz
"Спасибо магазину Muslim, материал хороший, за такую цену просто супер.",5,ru
Футболка белая. Качество супер. Хорошо сидит. Все пришло как хотела.,5,ru
"Өте сапалы, керемет, өз бағасына да сапасы тамаша. Ип Муслим сапасы үшін рахмет.",5,kaz
"Отличная футболка, соответствует размеру.",5,ru
"FemStyle көп рахмет. Качество супер, алсаңыздар өкінбейсіздер.",5,kaz
"Сапасы бәрі жақсы, маған ұнады, матасы жақсы, жұмсақ.",5,kaz
"Хорошая футболка, качество классное.",5,ru
"Круто, стоит своих денег, заказал для девушки.",5,ru
Все идеально.,5,ru
Качество супер.,5,ru
Отличная футболка за такую цену.,5,ru
"Доче понравилась, ткань мягкая приятная.",5,ru
"Хорошо сидит, но сильно просвечивает будто не беля, а прозрачная. Здравствуйте.",1,ru
"Прям качествасы өте жақсы, маған ұнады.",5,kaz
"Размері дәл келді, әдемі жұмсақ.",5,kaz
"Тез келді, сапасы күшті, им МУСЛИМ.",5,kaz
"Качество классное, 42 размер.",5,ru
Мне очень нравится качество.,5,ru
"Шикарно, размер подошёл, доставили быстро.",5,mixed
"Очень красивая, качественная, немного прозрачная, но это не страшно. В целом 5/5.",5,ru
"Футболка очень качественная. Покупайте, не пожалеете. Купила для внучки. Спасибо. Продавец: ИП Серик.",5,ru
Футболка отличного качества рр 42.,5,mixed
Очень качественный и красивый.,5,ru
"Күшті, ұнады, материалы да күшті.",5,kaz
"Хорошего качество, советую.",5,kaz
Хорошая футболка. Цена-качество.,5,mixed
Футболка хорошего качества.,5,ru
Качество крутое.,5,ru
Товар плохого качества.,1,ru
Качество.,5,kaz
Кушты прям.,5,kaz
"Хороший материал, супер.",5,ru
"Приятный материал, красиво подчеркивает фигуру, но чуть просвечивает.",4,mixed
"Классная, как на фото. Материал мне понравился, швы аккуратные сидит в обтяг отлично. Взяла для спорта, возьму еще. Спасибо!",5,ru
"Очень красиво смотрится, качество супер.",5,ru
"Өте күшті, ұнады, матасы жақсы.",5,kaz
"Чуть-чуть просвечивает, но в остальном материал хороший. Футболка качественная, без брака.",5,mixed
Очень классно.,5,ru
"Все отлично, мне понравилось.",5,ru
"Футболка классного качества, немного просвечивает, но на теле сидит.",4,mixed
"Отличная футболка, размеру соответствует. Ткань приятная.",5,ru
"Футболка супер! Ткань приятная, сидит красиво, размер подошёл. Спасибо!",5,ru
"Очень классно, то что я хотела! Спасибо, еще и быстро доставили.",5,ru
Размері тура келді.,4,kaz
Качество топ.,5,ru
"Күшті боп келді, қыздар бағасыда өте күшті.",5,kaz
Качественный.,5,kaz
Качество топ.,5,ru
Класс. Супер. Спасибо большое.,5,ru
Классная футболка для цена очень хорошая.,5,ru
"Футболка приятная к телу, размер в размер, пришла вовремя. Все хорошо, спасибо Каспи.",5,mixed
"Хорошая и качественная за свою цену, также приятно к телу.",5,ru
"Выше всех ожиданий, хорошая белая футболка.",5,ru
"Все супер, все понравилось, пришло по размеру.",5,ru
"Мне понравилась, что приталенная, но не 100% хлопок.",5,ru
Качество.,1,kaz
"Цвет молочный, маломерит.",3,ru
"Подошли в размер, классные.",5,ru
"Футболка классная, цвет не прям белая, а жемчужная. Производство Корея, выглядит как на фото.",5,mixed
"Сапасы өте жақсы, ұнады.",5,kaz
Качество супер.,5,ru
"Футболка хорошего качества, не сильно просвечивает.",5,ru
"Футболка классная, сидит по фигуре. Ношу ее постоянно. 5/5.",5,mixed
Качество классное! Рекомендую.,5,ru
"Күшті, керемет.",5,kaz
"Сапасы күшті, тез келді.",5,kaz
Просвечивает.,3,kaz
"Прям классная футболка, качество хорошее и размер точь в точь.",5,ru
"Мягкая, качество супер.",5,ru
"К качеству претензий нет, но цвет оказался не таким, как хотелось бы.",4,ru
Ткань хорошая,5,ru
"Өте тамаша келді, качество супер, доставка уақытылы, рахмет.",5,kaz
"Размер размер келді, маған ұнады.",5,mixed
"Заказываю не первый раз, качество супер.",5,ru
"Отличная футболка, приятная ткань.",5,ru
Качество супер.,5,ru
"Футболка понравилась дочке, доставка пришла раньше времени, спасибо Каспи.",5,ru
Өте күшті маған ұнады ойымдағыдай келді.,5,kaz
"Корейский материал нежный, хорошо подошла.",5,ru
Алуға кеңес беремін. Сапасы жақсы.,5,kaz
Супер качество.,5,ru
"Качество конечно шикарное за такую цену, брала 42 оказалась чуть большой и длинной (подошью как мне надо), списалась с продавцом сказали что все стандарт, поэтому можете особо не выбирать по размеру, но качество действительно отличное, ничего не торчит.",5,ru
Футболка классного качества.,5,ru
"Классная футболка, не просвечивает.",5,ru
Качество жақсы.,5,mixed
"Күшті советую, Айым Колекшннан алыңыздар, если че.",5,kaz
Сапасы жақсы.,5,kaz
Хорошее качество.,5,ru
Футболка өте әдемі бірақ иісі бар екен.,4,kaz
"Керемет сапада, прям ұнады. Созылып қалған бір нәрсе келеді шығар, бұндай бағаға деп ойлап ем) жоқ, керісінше мощный екен.",5,kaz
Качество.,5,kaz
Просто супер за такую цену.,5,ru
Классная посадка и качество футболки.,5,ru
"Өте керемет, қызыма қатты ұнады.",5,kaz
Хорошая футболка.,5,mixed
"Очень классный, за такую цену не ожидала, качество огонь.",5,ru
Күшті футболка.,5,kaz
"Топ просто шикарный, но жаль с пятном пришли.",5,ru
"Очень красивая футболка и качество очень хорошее, не жалею.",5,ru
"Хорошее качество, спасибо за подарок.",5,ru
Качество топ.,5,ru
"Качество плохое, просвечивает.",1,ru
Күшті болып келді.,5,kaz
"Качество күшті. Прям зор, таза Кореяныңкі э, прям қатты.",5,kaz
Пока мне очень нравится.,5,ru
Товар просто супер и качество хорошее.,5,ru
"Футболка ұнады, качествосы өте күшті.",5,kaz
"Очень хорошая футболка, спасибо большое! Качество топ, ношу не снимая.",5,ru
"Кофточка классная, материал отличный.",5,mixed
"Товар отличного качества. Просто доставили позже на 2 дня, чем в указанный срок.",4,ru
"Сапасы да, бағасы да.",5,kaz
"Точно такая же как на фото, супер.",5,ru
Футболка понравилась.,5,kaz
Качество порадовало. За такую цену прям находка. Благодарю!,5,mixed
Әдемі аппақ качество супер болып келді.,5,kaz
"Просвечивает, а так пойдет.",4,mixed
Качество супер.,5,ru
"Футболка очень классная, мне понравилась. Качество хорошее, ткань мягкая. Берите, не пожалеете.",5,ru
"Ткань отличная, размер заказывала свой – подошёл идеально, за доставку точно в срок спасибо Ayim_collection.",5,mixed
Футболка просто топ! Спасибо!,5,mixed
"Супер пупер, качество топ.",5,ru
"За свою цену отличный товар, советую к покупке что очень удивило made in korea, а корейские вещи качественные.",5,ru
приятная кофта!,5,kaz
"Качество хорошее, приятно удивлена, не ожидала такого качества за такую цену.",5,ru
"Очень классный, спасибо.",5,ru
"Өте керемет, сапасы жоғары деңгейде келді.",5,kaz
Качество топ.,1,ru
"Хорошая футболка, качественная.",5,ru
"Футболка отличного качества и доставка быстрая, и села отлично.",5,mixed
Футболка просто супер.,5,mixed
"Очень классно выглядишь, советую продавец Медин.",5,ru
Футболка подошла моей дочке. Качество хорошее. Благодарю за оперативность.,5,ru
"Очень понравилось, качество супер.",5,ru
Качествосы мықты.,5,kaz
"Качество хорошее, ткань тоже приятная, одно большое но это рукава они то ли слишком маленькие, то ли слишком короткие.",4,ru
"Очень качественный и мягкий материал, приятный к телу.",5,mixed
"Мне нравится, супер просто.",4,kaz
"Футболканың матасы күшті, жұмсақ.",5,kaz
"Чуть-чуть просвечивается, а так мне нравится, спасибо.",4,mixed
"Жақсы, дәл келді, ским футболка.",4,kaz
Качество супер.,5,ru
"Трусы бомбовые честно говоря! Вес 85 кг. рост 170 подошел 50 размер ни трёт, ни жмёт. Берите, не ходите без трусов)",5,ru
"Сапасы жақсы екен, ойымнан шықты. Бойым 175 салмағым 82 3xl  дұрыс келді.",5,kaz
"Симпатичные, летние, как написано в описании хлопко-бамбуковые, приятные на ощупь. 4 шт. разного цвета. В общем будем смотреть при носке, комфортные или не удобные? Вот размер не понятно маломерит, что ли?",5,ru
"Трусы отличные, четвертый день не снимаю.",5,ru
"Маломерка, надо большую брать, у меня вес 80 кг, я взял 4 хл нормально, но 5 хл по свободное было бы. Если у вас вес 80 кг, то 5 хл ваш размер.",5,ru
"Классные плавки, мой рост 178, вес 81 кг, есть живот небольшой, взял размер 4XL, качество приятное на ощупь, рекомендую за эту цену.",5,ru
Сшиты аккуратно. Понравилось. Рост 181 вес76 купил 4xl. Идеально сели.,5,ru
Брала мужу. Муж счастлив. Теперь у него аж 5 пар трусов.,5,kaz
"Мужу понравились на 48-50 размер, взяла 4 xl все подошло.",5,ru
"Хорошие, легкие, приятные к телу, на лето самое то. Мужу понравились, на рост 178см, вес 86кг, размер 4XL подошли идеально. Заказ доставили на день раньше. Спасибо большое Каспи Магазину, радуете всегда. Однозначно закажу еще.",5,ru
"Качество неплохое на свои деньги, мало мерят кстати, заказывайте на 2 размера больше.",4,ru
"У меня 48-50, взял 4xl в размер.",5,ru
"Бойым 178 см, салмағым 72 кг, 4Х<unk> маған дәл келді.",5,kaz
"Рост 188-190, вес 88-90, размер 4хл не подошел, но пойдет.",4,mixed
"Боксеры подошли, прочитала отзывы, на 48-50 заказала 4хл, тонкие, хбшные, за такую сумму очень даже классные. Единственное заметила немного растягиваются при носке, ну это не страшно) Советую.",4,ru
Размер подошел идеально) 4хл на вес примерно 70-80кг.,5,ru
"Хорошие, все подошло.",5,ru
"Отличное качество. Но я сильно промахнулся с размером. На мой 46 надо реально брать 2XL, а не 4XL.",5,ru
"Боксеры хорошего качества, хлопок. Маломерят. Размер 4XL подошел на 50-52 размер.",5,ru
"Размер подошел, цветовая гамма хорошая, мягкие, и цена отличная.",5,ru
"Качество среднее, не подошёл размер, у меня вес 85 рост 170 брал 4xl не подошёл, берите больше размер.",1,ru
"Мужу не понравились, короткие хотя и взяли 50, как подстеленые, задница голая, не советую, разочаровался муж.",3,ru
"Качество за такие деньги топ. Смотрите циферки, они более приближены к реальным. Рост 178 вес 100 подошло 4XL.",5,ru
При росте 178 см и весе 70 кг подошел размер 4L. Свободная посадка. Не жмет. Ткань приятная на ощупь.,5,ru
Маломерят.,3,kaz
"Хорошие трусы. Мужу понравились. Материал хб. На рост, вес 175/96 подошёл 4XL.",5,ru
Размер кішкентай болды и качество онша емес.,2,mixed
Качество хорошее! Мужу понравились очень. Сразу же нарядил их.,5,ru
Хороший товар!,5,ru
"На 52 размер взяла 4хл, подошли, ткань хб. Приходят в фирменном пакете с бегунком.",5,ru
"Трусы очень понравились сыну, фирма хорошая, качество классное, все швы аккуратно прострочены хб. Цвета тоже понравились. Сын доволен. Буду заказывать больше размер для мужа.",5,ru
Цена хорошая. И качество.,5,ru
"Материалы өте керемет, жолдасыма алғанмын. Екінші рет алып отырмын.",5,kaz
"Отзывов много. Если читаете, поверьте, не берите. Маломерят очень сильно. Ткань неприятная.",1,ru
Качество супер.,5,ru
"Ұнады ойымдағыдай, мундай баға күшті енді, еще размерінде дұрыс тандаппын, Каспи магазин жақсы болды, казир тик токтан басқалардын Каспи находкаларын не алганын корип озиме сактап заказ берип жатырмын.",4,kaz
"Хорошее качество. Тонкий материал. Если заказывать по размерной сетке который указан, то размер соответствует. Спасибо магазину елле силк.",5,ru
Отличные боксеры. Материал супер. На размер 52 надо брать 4хл.,5,ru
"Хорошие трусы, маломерки заказывать надо на размер больше.",5,ru
"Качество хорошее, на повседневку самое то. Мужу понравилось, спасибо магазину.",5,ru
"Прочитав все отзывы, тоже заказали упаковку. Не пожалели. Качество отличное, хб, на ощупь отличные. Цвет и размер соответствуют. На 83 кг заказали 4хл, прям идеально подошли. Рекомендую. Думаю закажем еще упаковку.",5,ru
"Хорошие. Для лета самое то. Резинка широкая, удобная. Спасибо магазину. И доставке.",5,ru
"Вначале казалось , что отличные. 
Через неделю начали появляться катышки.",5,mixed
Качество очень хорошее. Хлопок. На вес 76кг взяли 4хл. Отлично подошло.,5,ru
"Трусы не понравились. 95 проц синтетика и 5 проц хлопок, тонкие и дискомфортные.",1,ru
"Мынандай бағаға 4 штук вообще бомба, киеуім 50 размер бірақ 4 хл тура келді рахмет ип Q-SHOP.",5,mixed
"Хорошие трусы, качественные. Хлопок, резинка не давит, посадка средняя. На 50 размер брала 4xl, чуть свободные.",5,ru
"Хорошие, мягкие, тонкие трусы. Соответствуют описанию и фото. Товаром довольны, по такой цене отлично. Купила у продавца ELLE SILK. Спасибо.",5,ru
"Ткань хорошая, не вызывает раздражения, закажу ещё.",4,ru
"Трусы рекомендую к покупке. Идут размер в размер. Обыкновенные х/б боксеры, хорошо прошиты.",5,ru
"Размер не подошёл, почитала отзывы, взяла побольше размер, к сожалению не подошёл.",1,ru
"Качественные, взяла мужу на 52 размер отлично подошел 4xl.",5,ru
Качество хорошее.,5,ru
"Я даже не ожидала, что за такую цену качество будет таким классным, спасибо магазину за доставку.",5,ru
Пришли отличного качества боксеры. Ткань приятная. За такую цену вообще супер. Спасибо ИП Цой Владимир Александрович.,5,ru
"Качество хорошее 4XL, на размер 48-50 свободное.",5,ru
