,text,language,label
35199,"Водолазы ДЧС оперативно жұмыс істеді, бірақ өкінішті жағдай екен",mixed,
35225,"В правильном направлении работают, порядок керек всем",mixed,
35278,Осылар табиғатты ойламай ма вообще,mixed,
35284,"Красавчик, молодец Федоров, елдің атын шығарып жүр",mixed,
35320,"Резервы нормальные, но внутреннее потребление быстро растет — новые заводы и разведка вовремя қолға алынды",mixed,
35330,"В целом правильно делают, народ сам шешсін",mixed,
35348,"Приветствуем новых послов, с такими странами туризм мен мәдени байланыс өседі",mixed,
35362,"Дұрыс, заң жұмыс істеу керек Казақстанда! Әбден басыңғаңдар. Қазахстан это не та страна, где каждый проходимец может вытирать ноги об нее",mixed,
35414,"Нормальный шаг, беспорядок меньше болады, газды тиімді қолданады",mixed,
35422,Прям Кин дза дза какая то.,mixed,
35448,"Связи с Ираном даёт өзара пайда, сауда, жаңа мүмкіндіктер",mixed,
35461,"Полицейские дұрыс қимылдаған, заң бәріне ортақ",mixed,
35462,"Оперативно сработали, порядок керек бәрібір",mixed,
35472,"В такую погоду аккуратнее болыңдар, біраз өңірде қиын болайын деп тұр",mixed,
35483,"Планомерно жұмыс жүріп жатыр, халыққа пайдасы тиеді",mixed,
35500,"Учитывая, что часть нарушений уже устранили, дұрыс шешім сияқты",mixed,
35512,"Всё по полкам раскладып жатыр, жүйе тұрақты болады енді",mixed,
35533,"Ну, влияет на связь, конечно, но у нас бәрібір жұмыс істей береді",mixed,
35552,Казавтожол должен был закрыть трассу,mixed,
35872,"Погода шутить не любит, абай болыңдар",mixed,
35882,Наконец то наша неповоротливая машина - власть начала работать! Жарайсындар! Если бы еще так работали  оперативно против сепаратистов цены не было нашим доблестным властям!,mixed,
35935,"Жалко, қайғылы жағдай екен, комиссия жұмысын күтейік",mixed,
35943,"AI реально облегчает жизнь клиентам, спама азаяды, бәрі өз орнымен",mixed,
35947,"Коммунальщики түнімен тыным таппай жатыр екен, бәрін қалыпқа келтіреді",mixed,
35950,"Аман болсын, надеюсь, быстро всё наладят",mixed,
35999,"Не зря одиү из самых динамичных городов страны, и прокуратура здесь играет ключевую роль",mixed,
36009,"Поздравляю, тәжірибе бар жігіттер екен",mixed,
36024,"Норм неделя, полиция красавцы, боксшылар да қуантты",mixed,
36033,"Пожарные шапшаң келіп жатыр, бәрін бақылап тұр",mixed,
36035,"Аман болсын, хорошо, что обошлось без жертв",mixed,
36041,"Иногда реально дышать нечем, қысқартқан дұрыс время на улице",mixed,
36049,"Молодец Бакытжан, қазақтың баласы Парижде жүлде алды ғой",mixed,
36111,"Тихо бы все решилось, соғыс болмасын",mixed,
36124,"Врачи красавцы, на высшем уровне жұмыс істеп жатыр",mixed,
36130,"Красавцы, қазақстандықтар тағы бір мәрте қуантты",mixed,
36151,"Волонтерство реально қоғамға керек нәрсе, Конституцияда болғаны дұрыс қой",mixed,
36155,"По делу говорят, все по-честному идет, сами шешіп жатырмыз",mixed,
36170,Никто не застрахован от природы. Иманды болсын,mixed,
36189,"Все как и было, соцгарантии сақталады, уайымдайтын ештеңе жоқ",mixed,
36194,"Тенге закрепить в Конституции — правильно, ұлттық валюта біржола айқын болады",mixed,
36220,"Аман болсын, хорошо, что все обошлось ",mixed,
36226,Мы с вами девочки!АЛҒА КАЗАХСТАН,mixed,
36227,Удачи нашим спортсменам Алға Казахстан!!,mixed,
36232,"Казахстанцы флаг несут — уже гордость, Олимпиада мотивация береді",mixed,
36296,"Хорошо, даму мен қауіпсіздік үшін маңызды кездесу екен. Жақсы бағыт сияқты.",mixed,
36298,"Aсар баспана отлично и честно работал на благо народа,Асар не пирамида,мы все это знаем",mixed,
36324,Халықтың жобасы халыққа қайтарылады деп сенемиз ,mixed,
36330,Асар Баспана жасасын. Асар Баспана пирамида емес,mixed,
36357,Стоматологияда жүр ма ? Стоматологта қылмыскер болыа жүр  ма сонда?,mixed,
36361,"Работа идет, порядок керек всем",mixed,
36369,"Интересные новости, мирде бәрі өзгеріп жатыр екен",mixed,
36391,"Для Алматы это прям жаңа деңгей, туризм мен спортқа серпін береді",mixed,
36398,"Для людей проще болады, бәрі анық жазылғаны жақсы екен",mixed,
36468,"Сотрудничество с Пакистаном нам пайдалы — рынок ашылады, сауда күшейеді",mixed,
36500,Суюнбая Баянаульская почувствовали. Цветы качались,mixed,
36516,"Ставки подросли, зато автокредит прям вытянул бәрін",mixed,
36635,"С Пакистаном жақындасу бізге жаңа нарық ашады, сауда мен логистика үшін де плюс",mixed,
36641,"Хорошо, что заранее бәрін дайындап жатыр, көктемге дайындық маңызды",mixed,
36668,"Выгодно для нас, Пакистан үлкен нарық, сауда ашыла береді",mixed,
36673,Центр «Достық» — это гениально.,mixed,
36688,Спортивный центр Достық особенно показательный момент.,mixed,
36691,"Хорошее дело, связи с Пакистаном крепнут, науке мен білімге де пайдасы тиеді",mixed,
36723,"Хорошее направление, Пакистан арқылы жаңа нарықтар ашылады",mixed,
36823,"Для бизнеса полезно будет, открытость керек",mixed,
36864,Кай орбитада омир суреди екен булар,mixed,
36876,"Сами перспективы сотрудничества очень хорошие.  Така встреча открывает новые возможности для расширения взаимодействия в политической, экономической и гуманитарной сферах.",mixed,
36913,"Все четко объяснили, спекуляцияға ермеу керек",mixed,
36942,"Интересно, мирде тыныштық жоқ екен ғой",mixed,
36944,"Спасибо за предупреждение, жолда абай болған дұрыс",mixed,
36950,"Люди реально қатысып жатыр, қоғам белсенді боп келеді",mixed,
37076,"Работают по делу, нормально қолға алған",mixed,
37084,"Стабильность есть, в тенге депозиттер әлі де өзекті",mixed,
37093,"Видимо, жаңарту керек болған шығар",mixed,
37116,"Выгодно, Вьетнам үлкен нарық, экспорт кеңейеді",mixed,
37141,"Берегите себя, алысқа шықпай-ақ қойыңдар",mixed,
37145,Черный дрозд - **Қара сайрақ**,mixed,
37197,"Сложно сейчас совсем без интернета, все к нему байланысты боп кетті",mixed,
37201,"Чуть-чуть өсті, бірақ қатты өзгеріс жоқ сияқты",mixed,
37231,"Полезная штука для бизнеса, с бухучетом көп қиналатындар көп қой",mixed,
37315,"Хорошая поездка, укрепление связей с Пакистаном важно. Туризм, экономика да жүреді енді.",mixed,
37331,"Аман болсын женщине, хорошо, что спасатели быстро среагировали",mixed,
37380,"Аман болсын, молодцы, что быстро спасли!",mixed,
37386,"Жақсы, тез сөндіріпті ғо. Пострадавший жоқ екен, бәрі дұрыс.",mixed,
37402,"Аман болсын, хорошо, что нашли мальчика ",mixed,
37441,"Очень приятно наблюдать за своей Родиной, хоть я и уехал давно, но радует что КЗ не стоит на месте а движется в ногу со временем! Казахстан алга!",mixed,
37448,"Смотрю на все эти изменения и чувствую, что проект реально старается сделать власть ближе к людям. Однопалатный Курултай, вице президент, Халық Кеңесі будто пытаются выстроить систему, где решения с учетом всех слоев общества",mixed,
37449,"И Халық Кеңесі прикольно, что появился орган, который реально учитывает мнение народа, а не только депутатов",mixed,
37450,"Курултай один, пропорциональная система значит, партии реально будут нести ответственность",mixed,
37455,"Халық Кеңесі прикольная штука. Как совет старейшин, но с реальными правами, даже законодательной инициативой",mixed,
37519,"Светский білім беру маңызды ғой, дұрыс бағыт сияқты.",mixed,
37537,"Так то видно, что референдум сделали максимально прозрачным и легитимным. Президент может инициировать, но и Курултай, и Правительство, и Халық Кеңесі тоже могут предлагать",mixed,
37646,Казак ели жасасын! Новая конституция новые законы на благо народа!,mixed,
37649,"Классно, что закрепили суверенитет, единство страны и межэтническое согласие, а ещё сделали упор на образование, науку и технологии это реально важно для будущего. Новые институты вроде однопалатного парламента и Халық Кеңесі дают больше прозрачности и участия людей в принятии решений",mixed,
37689,"Серьёзный и грамотный подход, взвешенное и своевременное изменение в нашу Конституцию даёт надежду на существенное и положительное изменение облика целого Казахстана. Алға Қазақстан",mixed,
37701,Президент красавчик!!! Давно пора! Қазақстан алға!!!,mixed,
37909,"Раньше экология и дети были здоровее что ли? Нас гоняли на физкультуре как ""сидоровых коз"". Очень жаль.Иманды болсын.",mixed,
37911,Постоянно с ингалятором ходить надо астматиком. Иманды болсын балакай,mixed,
37993,"Работа кипит, решения принимаются, жаңа тағайындаулар да бар — қозғалыс бар, бәрі бақылауда",mixed,
38019,"Алга Лена , Алга Қазақстан  - удачи и успехов ..",mixed,
38022,"Круто, Рыбакина на высоте, Казахстанды тағы да танытып жатыр",mixed,
38028,"По делу говорит, безопасность бәрінен маңызды",mixed,
38075,"Обсуждают же бәрібір, открыто идет жұмыс",mixed,
38110,"Рост есть, зелёные зоны расширяют, транспорт да жақсарып жатыр — норм движ идет",mixed,
38131,"Часть денег уже вернули, қалғаны да бақылауда",mixed,
38165,Реализация такого сложного проекта под контролем фонда «Самрук-Қазына» показывает способность государства и национальных компаний управлять мегапроектами в стратегически важных отраслях. Это важный сигнал для инвесторов.,mixed,
38175,Сонымен не далелдед енді Темир торда ширейды,mixed,
38178,"Сила мужчины не в кулак а в уме, какой то изверг. Иманды болсын",mixed,
38182,"Полицейские дұрыс әрекет еткен, қауіпсіздік бірінші орында",mixed,
38198,"Злоупотребление должностными полномочиями деген статьягың түпкі негізі дұрыс емес. Кімге, қалай қолдану керек жазылмаған.",mixed,
38203,"Так и надо, чтобы басшылар жауап берсін",mixed,
38220,"Видно, жаңа адам керек болған шығар",mixed,
38222,"Жарайсындар ! Предполагал ,что наши забьют 2 гола , но 5 -2 , поэтому можно сказать , что Кайрат - уже не плох ! Держался на уровне лучших команд АПЛ .. Сәттіліктпен женіс тілейміз болашақта ..",mixed,
38223,Ещё гол давайте ребята pliz,mixed,
38229,"Еее, қызық матч болайын деп тұр",mixed,
38296,"Стабильно жұмыс істеп тұр ғой, қиындыққа қарамай орындап жатыр",mixed,
38379,"В принципе, людей да қорғайтын нәрсе ғой",mixed,
38495,"Правильно, что ловят таких — природу қорғау керек",mixed,
38507,"Правильно сделали, безопасность балаларға бірінші орында",mixed,
38512,"Иманды болсын, пусть все будет хорошо, ждем экспертизы",mixed,
38525,Алла жар болсын! Не боп кетті өзі??? Сақтықта қорлық жоқ,mixed,
38526,"Иманды болсын, опять трагический случай,  думаю следствие покажет причину,  терпение родителям",mixed,
38527,Иманды болсын соответсвующие органы разберутся,mixed,
38529,"Спасибо, что заранее предупреждают — можно дайындалып алу.",mixed,
38594,Самое главное что бы в будущем ак жол болды,mixed,
38605,"Видимо, жаңа адам керек болған шығар",mixed,
38607,"Өз уақытымен кетті, рахмет за работу",mixed,
38609,"Интересное решение, у них теперь интернет-балалар азаяды екен",mixed,
38636,"Нормально сделали, отреагировали быстро — теперь и форма өзіміздікі, и спорт экипировка сапалы болады",mixed,
38638,"По делу разобрались, теперь форма өзімізден болады, ал жарыста халықаралық брендпен жүретін болды",mixed,
38652,"Без бумаги проще, все равно онлайнға үйрендік уже",mixed,
38668,"Давно пора было навести порядок, дети қауіпсіз болуы керек",mixed,
38691,"Правильное решение, так детям түсініктірек болады",mixed,
38715,"Детей қорғау керек, цифрлық қауіпсіздікке мән беріп жатыр",mixed,
38740,"Для туризма үлкен плюс, елге келетін адам көбейеді",mixed,
38793,"Обновленная Конституцияға басымдық бергені дұрыс, заң саласында нақты қадам жасалып жатыр",mixed,
38802,"Ну, безопасность үшін жасап жатыр ғой",mixed,
38813,"Полицейский тез арада әрекет еткен екен, жарайды",mixed,
38815,"Нурсултан Багибаев молодец, быстро сработал",mixed,
38890,"Вовремя поднимают, цифрлық заманда жеке құқыққа мән беру керек",mixed,
39018,"Контроль күшейеді, бәрі ашық болады деген сөз",mixed,
39109,"Спасибо, что предупредили, дайын боламыз",mixed,
39123,"Проверка идет, значит, бәрі ашық болады",mixed,
39152,"Все по правилам сделали, людей да қарапты",mixed,
39158,"Нормальная тенденция, главное что детей всё чаще стараются в семьи орналастыру, а не в интернаты",mixed,
39167,"Я думаю, что она 100 процентов знала эту махинацию , ее надо наказать как организатора. Екіншіде басқаларға сабақ болсын",mixed,
39176,"Всё оперативно сделали, экспорт тоқтамайды",mixed,
39200,"Хорошо, что новые технологии доходят до медицины, быстрее диагноз қояды теперь",mixed,
39222,Торговать с Монголией выгодно — ауыл шаруашылығы өнімдері жақсы өтеді,mixed,
39254,С Вьетнамом байланыс жақсы болғаны бәрібір пайдалы,mixed,
39264,"Молодец, Рыбакина — қазақстандық спорт тағы бір деңгейге шықты",mixed,
39271,"Сборная прям со всех уголков, молодцы, бүкіл елден шыққаны қуантады",mixed,
39273,Вице президент - оте дурыс! ,mixed,
39298,"Ну что, вице-президенту дают больше полномочий, Халық Кеңесі закрепляют в Конституции, вроде норм шаги для укрепления структуры управления",mixed,
39324,"Всё поэтапно жүріпті, халықтың ұсынысын ескеріп жатыр",mixed,
39338,"Переход к однопалатному Парламенту-Курултаю, создание Халық Кеңесі и введение должности вице-президента означают попытку пересобрать систему управления.",mixed,
39349,"Серьёзные перемены идут, қоғам да қосылып жатыр, бастысы — бәрі ашық талқыланып жатыр",mixed,
39360,"По делу сделали, халыққа әсері болмағаны жақсы",mixed,
39369,"Хоть и рейды идут, но без самих дачников тут не решить — контейнер қойып, келісімге отыру керек бәрібір",mixed,
39374,"Молодец Буяльский, қазақстандық хоккейдің атын шығарып жүр",mixed,
39378,"Тишина керек, келісімге келсе болғаны",mixed,
39419,Жөн екен. Невозвратный билеттер тиімді ғой көп адамға.,mixed,
39422,"Логика есть, кто ерте алады — арзан алады, бәрі түсінікті",mixed,
39438,"По делу говорит, пассажирам да жеңілдік керек",mixed,
39479,"Нормальное дело, и больница жаңа болады, и местные производители поддержка алады",mixed,
39500,"Выглядит, как огурчик, где там понадобилась ""медицинская помощь""? Не болып жүр замынан таяқ жеп? Дәурен Есимханов қазақтың палуаны екен.)",mixed,
39509,"Динамика прям мощная, глобальный рынок раскачал бәрін",mixed,
39530,"Пусть полиция разберется, бәрі анықталады",mixed,
39536,"Хорошо, поздравляю. Тәжірибесі бар сияқты ",mixed,
39546,Полицейские мен жүргізушілер жақсы көмектескен екен,mixed,
39575,"Красавица, шын қуаныш! Енді Олимпиадада да жарқырайды",mixed,
39597,"Правильно сделали, здоровье балалар важнее",mixed,
39663,"По делу объяснили, Казатомпром өз позициясын ашық айтты",mixed,
39682,"Аман болсын, надеюсь, быстро разберутся с причиной.",mixed,
39698,"Вакцина керек қой, балаларға обал болмасын",mixed,
39730,"Жалко, осындай жағдайға жеткені өкінішті",mixed,
39737,"Жалко, когда умирают дети в мирное время. Иманды болсын.",mixed,
39741,"Пусть всё выяснят, қайғылы жағдай",mixed,
39787,"Так держать, безопасность ребятқа маңызды, обновление керек еді",mixed,
39875,"Вовремя двигаются, давно керек еді такие станции",mixed,
39889,"Для детей, әсіресе қауіпсіздік жағынан дұрыс қадам",mixed,
39955,"Тарифы понятны, цифрлық жүйе үшін ашық жарияланып отыр",mixed,
39958,Любой адам қолдана ала ма?,mixed,
39980,"Ну да, ""Брюгге"" жгёт сегодня",mixed,
39999,"Молодцы ребята, Қазақстанның атын шығарып келді",mixed,
40001,"Тоқаев стукнет кулаком по столу работать начинают, не стукнет молчат…",mixed,
40035,"Ініціатива уақтылы, тәртіп орнайды енді",mixed,
40060,"Удобно же было, не понимаю зачем тағы шектеу қойып жатыр",mixed,
40077,"Құрылтайклассное название, больше духа страны, патриотизм без лишней бумажной теории, все через реальные дела. Молодцы, что не боятся реформировать систему",mixed,
40081,"По делу всё сказал, нужные реформы и вопросы көтеріп отыр",mixed,
40188,"По делу сказал, адамдардың пікірін ескеріп жатыр ғой",mixed,
40280,"По делу сказал, біздің қоғамға жат нәрсе",mixed,
40368,Олардың жас балалары страшный. Көшеде пышақтап кете береді.,mixed,
40372,"Детям телефонды шектеу дұрыс, оқуға көңіл бөледі",mixed,
40403,"В Болгарии, значит, өзгеріс болады, мүмкін жаңа бағыт келеді",mixed,
40408,"Значит, Болгарии жаңа президент келеді, мүмкін бір өзгеріс болады",mixed,
40447,А что совсем маленький ребёнок былИманды болсын кішкентай періштем ,mixed,
40457,"Правильно, девальвация — это не выход, людям ауыр болады",mixed,
40487,"Давно надо было — теперь и мясо, и экспорт, и село дамып кетеді",mixed,
40566,Теперь им надо придти на курбан байрам.,mixed,
40594,"Аман болсын  Хорошо, что нашли его вовремя",mixed,
40645,"Бостан бос Акша жою. Шитилдын азаматтарга зарплат толегенше, озимиздин балдарга жагдай жасау керек",mixed,
40745,"Осы күнге дейін не ойлаған? Более 28 метров высотой жилые дома дейді , сонда  27 метр болса биіктігі өртене берсін ба? Түсініксіз?",mixed,
40758,ҚТЖ давно так уверенно не показывала динамику,mixed,
40770,"Для обычных людей жеңілдік қой, төмен табыстағыларға жақсы болды",mixed,
40809,"Видно, что госорганы реально вмешиваются, люди ақысын алып жатыр",mixed,
40833,"Обсуждают, халықтың пікірі ескеріліп жатыр",mixed,
40846,"Ну, по погоде дұрыс шешім сияқты",mixed,
40866,"Давно ждали такую ветку, теперь аэропортқа жету оңай болады",mixed,
40867,"Удобно будет, аэропортқа дейін метро жетсе, халыққа жақсы болады",mixed,
40872,"Финансовый сектор қатаң бақылауда, тұрақтылық бар екен",mixed,
40951,"Қыс біраз қысып тұр ғой, дистанционка дұрыс шешім сияқты.",mixed,
40952,"Ну, мороз крепкий, дұрыс шешім",mixed,
40963,"Для наших студентов и вузов жақсы мүмкіндік, Азияға жол ашылады",mixed,
40966,Теперь дипломмен Азия жаққа да жол ашылады екен,mixed,
40999,"просто лучшая, ак жок саган, Александра",mixed,
41031,"Погода құбылып тұр ғой, балалар аман болсын",mixed,
41052,"Хороший шаг, больше рейсов будет и транзит күшейеді",mixed,
41057,"Дұрыс бағыт, транзит пен авиация үшін реально керек нәрсе",mixed,
41063,"Для Казахстана это плюс, бюджетке кіріс көбейеді",mixed,
41067,"Общие правила нужны, экспортқа қолайлы болады",mixed,
41082,"Реально серьезный шаг для машиностроения, локализация өседі, жаңа жұмыс орындары ашылады",mixed,
41102,"Хорошее направление, свои ресурсы надо детально изучать, инвесторам да и самим пайдасы көп болады",mixed,
41121,"Главное, всех балаларды тауып қайтарған екен, полиция қарап жүр",mixed,
41135,"Погода бұзылайын деп тұр ғой, балаларға қауіп жоқ енді",mixed,
41147,Экипаж аман болғаны жақсы болды,mixed,
41152,"Аман болсын, хорошо, что экипаж не пострадал.",mixed,
41166,"Комиссия уже жұмысқа кірісті, бәрі анықталады",mixed,
41266,"Поздравляю, тек сәттілік тілейміз! Сыйластығымыз жараса берсін",mixed,
41267,"Опыт есть, жұмысты алып кетеді",mixed,
41310,"Работает же система, синтетикаға қарсы шынымен шаралар бар екен",mixed,
41318,"Следят, жұмыс жүріп жатыр, бәрі анықталады",mixed,
41375,"Теперь все станет ясно, суд анықтайды",mixed,
41539,Умничка. Аллаһ Тағала тіл-көзден сақтасын,mixed,
41697,"Мынау кәдімгідей пайдалы инфо екен, бәрін уақытында жаңартып алған дұрыс",mixed,
41758,"В Дании спокойно живут, сол себепті Америкаға асықпайды",mixed,
41769,"Не зарекайся, Алла тағала ешкімге ондай сынақ бермесін, олардың басындай қандай қиындықтар өткенін білмейсінғой!",mixed,
41829,"Очень жаль. Иманды, жаны жәннәтта болсын.",mixed,
41831,Да будет ваша Папа в раю ин шаа Аллах ,mixed,
41836,"Соболезную родным, ауыр қайғы екен",mixed,
41846,"Спасибо за инфу, жолдарда абай болу керек",mixed,
41848,"Это рак крови! Иманды болсынЭто же тоже чей ты сын Могли бы комиссовать, и дома лечился бы в родных стенах!",mixed,
41852,"АО Шымкент мұнай өнімдері где произошло хищение,не относится к шымкентскому нпз. Это разные предприятия. Пкоп Петро Казахстан относится в Казмунайгазу и CNPC, а Шымкент мұнай өнімдері часная нефтебаза.",mixed,
41861,"Безопасность үшін дұрыс шешім, жеке мінетіндерге қиындық жоқ екен",mixed,
41894,"Хорошо, что быстро среагировали и пассажиров не қалдырды без внимания",mixed,
41901,"Обидно, что какие-то энергетики погубили жизнь. Иманды болсын",mixed,
41905,"Вовремя занялись, киберқауіпсіздіксіз болмайды же",mixed,
41927,"Всё по закону идёт, активтер қайтарылып жатыр",mixed,
41935,"Работают по фактам, цифры көрсетіп тұр",mixed,
41952,"Проблема,что зарплаты так не растут ,хотя бы в теңге",mixed,
41957,"Трамп-ата, мы с тобой! Ак жоооол!!!",mixed,
41962,"Пенсионный возраст для пастухов — правильно, далада жұмыс оңай емес",mixed,
41974,Погоду қадағалап жүрген дұрыс екен,mixed,
42009,"Уақытымен түсіндіріпті, керек инфо екен",mixed,
42028,"Аман болсын, хорошо что всех спасли",mixed,
42032,"Аман болсын, хорошо, что всех спасли ",mixed,
42045,"Молодцы, вовремя среагировали, людей құтқарды",mixed,
42048,"Аман болсын, полицейские молодцы что помогли",mixed,
42074,"Красавчик, шотланд лигасына шыққаны өзімізге де плюс",mixed,
42089,Кондитерская фабрика Баян сұлу тоже повысили,mixed,
42102,"Ждём официальную информацию, полиция жұмыс істеп жатыр",mixed,
42112,"Молодцы, осындайларды уақтылы тоқтату керек",mixed,
42113,"Хорошо сработали, столько затыкали бы — улицы спокойнее болушь еді",mixed,
42139,"Время пришло, без цифры қазір ештеңе жүрмейді",mixed,
42170,"Хорошая тенденция, ИИ-менеджментті оқытып жатқаны дұрыс, сұраныс бар",mixed,
42172,Покажи личико Гульчетай  )),mixed,
42181,"Хорошо, что индексация идет, хоть аздап болса да өсіп жатыр",mixed,
42301,еще бір боран басталғалы тұр ғой,mixed,
42322,"Разбираются уже, просто так ешкімді қамауға алмайды",mixed,
42333,"Иманды болсын. Тренировал Ак булак 1 лигу, хороший мужик был",mixed,
42337,"Иманды болсын, дерзкий защитник был в 90 е в Кайсаре",mixed,
42362,"Оперативная группа жұмыс істеп жатыр, нәтиже болады",mixed,
42379,"Нагрузка үлкен, но реагируют быстро, молодцы",mixed,
42396,"Хорошо, что не отпустили, теперь по закону ответ береді",mixed,
42472,"Работают парни, қыруар шаруа атқарған",mixed,
42518,"Бывает, техника задерживается, но аэропорт жұмыс істеп жатыр",mixed,
42521,"Погода да әсер еткен шығар, главное, аэропорт өз жұмысын стоп қоймай істеп жатыр",mixed,
42522,"Самолёт кешіксе, әуежайдың кінәсі емес қой",mixed,
42544,"Чуть жеңілдетілген сияқты, фермерлерге де жақсы бонус",mixed,
42573,"Дороги нужны всегда, особенно для регионов — логистика мен туризмге серпін береді",mixed,
42579,"Защиту медиков күшейту керек еді, дұрыс қадам",mixed,
42598,"Интересно конечно, но факт вообще расталған жоқ",mixed,
42599,"Не сендім, фейк сияқты қой",mixed,
42605,"Аман болсын, главное, что нашли вовремя",mixed,
42610,"Всё по уму делают, бюджетке де тиімді болады",mixed,
42634,"Хорошее направление, детям и учителям реально жеңілдеу болады",mixed,
42694,"Аман болсын женщинаға, главное, что обошлось без серьёзных последствий",mixed,
42695,"Внимательнее болу керек, переездда асықпау керек",mixed,
42786,"Удобно сделали, самому таңдауға мүмкіндік бар енді",mixed,
42795,"Правильно говорят, ребята реально тәулік бойы жұмыс істейді",mixed,
42864,"Всех с Новым Годом. Всем Здоровья, Успехов, Благополучия, Счастья! Жаңа жыл кұтты болсын ",mixed,
42908,"Всех с Наступающим Новым Годом. Всем Здоровья, Успехов, Благополучия, Счастья! Алдағы 2026 жылмен",mixed,
42948,"Детки наше будущее, будущее целой страны. Хорошо что мм создают праздничное настроение. Алла разы болсын!",mixed,
43230,"Отличный результат! Рад видеть, что ""Самрук-Қазына"" продолжает развиваться и приносить пользу стране.",mixed,
43323,Легенда ушла иманды болсын ,mixed,
43372,"Аман болсын, хорошо, что все спасены",mixed,
43520,"Логично, что КНБ подключили — инфобезопасность қазір маңызды же",mixed,
43558,"Посмотрим, что суд решеді, нақты деректер керек",mixed,
43592,Это правильно. Бауыржан Момышұлы — нағыз батыр ғо.,mixed,
43595,Не че не изменилось просто все люди в долгах живём день не видим дети вообще в садике после обеда спят прасыпаюся уже ночь они спрашивают папа где сонлце нету провительство так решил,mixed,
43612,"Интересно сделали, орнамент пен стиль көрініп тұр екен",mixed,
43613,"Сакский стиль деген қызық екен, дизайн қандай болар екен",mixed,
43686,Обычно машина шыгарып болып енди безпилотный шыгарамыз Дейма ? Самим не смешно ? Реально делами займитесь лучше халыктын акшасын курта бермей,mixed,
43734,"Удобно сделали, можно будет нормально отдохнуть и с семьей уақыт өткізу",mixed,
43736,"Нормально, демалыс күндері жеткілікті екен",mixed,
43748,"Работают по-новому, прозрачность қосып жатыр, жаңа клиенттер тартылып жатыр ғой",mixed,
43752,"Давно надо было, врачтарды қорғау керек",mixed,
43764,"Технологии в образовании нужны, постепенно жаңарғаны дұрыс шаг",mixed,
43774,"Күтейік, бәрі анықталады ғо. Препод шығыпты жұмысқа, жақсы.",mixed,
43791,"Красавцы, мировой деңгейге шыққан деген осы",mixed,
43823,"Следят, бәрін бақылап отыр ғой",mixed,
43842,"Молодец Абиба, мықты нәтиже показала",mixed,
43857,Қасымбек на повышение пойдет скоро,mixed,
43863,"Наверное, жаңа адам керек болған шығар",mixed,
43888,"Правильное направление — и фермерге пайда, и экспорт өседі",mixed,
43896,"Хорошее решение, лекарства для тяжелобольных теперь доступнее болады",mixed,
43910,"Вопрос көтеріліп, қадағалап отыр ғой",mixed,
43917,"Ну, пока хоть бағалар ұстап тұр ғой",mixed,
43942,"Хорошо, что проблема озвучена, енді нақты өзгерістер күтеміз",mixed,
43995,"Для регионов это реально нужная штука, сапалы жабдық та әкеліпті",mixed,
44003,"Весь мир қозғалып жатыр ғой, тыныштық болса екен деп тілейміз",mixed,
44018,Собаки реально көмектесіп жатыр екен,mixed,
44026,"Аман болсын, ребята, аккуратнее на дорогах!",mixed,
44064,"Контакт с АҚШ всегда плюс, экономикаға да, сыртқы саясатқа да пайдалы болады",mixed,
44081,"Курс радует, тенге күшейіп жатыр",mixed,
44141,"Ну тогда ажиотажға ермейік, бәрі бақылауда",mixed,
44153,Для малого бизнеса полегче болады енді,mixed,
44170,"Инвесторлар үшін сигнал хороший, қолдау барын көрсетіп тұр",mixed,
44179,"Вовремя поддержали малый бизнес, бухучет бәріне оңай болмайды ведь",mixed,
44198,Да конечно Трамп воль Фрам будет лопатой грести ,mixed,
44243,"Рас штрафты көбейтсе, заңсыз құрылыс азаяды, дұрыс айтады",mixed,
44255,"Главное, что қызға көмектесіп жатыр екен",mixed,
44275,"Стабильность важна, соседпен түсіністік болғаны дұрыс екен",mixed,
44371,"Қарап жатыр, процесс жүріп жатыр ғо. Радиоактивность нормда дейді, бақылау бар. Жаңа онкоцентр де салайын деп жатыр екен. Сабырмен күтейік, бәрі анықталады.",mixed,
44403,"Всё правильно, продбезопасность важнее, пусть сначала елдің өзіне жетсін",mixed,
44484,"Потенциал реально большой, если транзит күшейсе — экономикаға да плюс болады",mixed,
44516,"Инвестиции идут, экономика жанданып жатыр",mixed,
44545,"Оперативно сработали ребята, лошадей да аман алып қалды",mixed,
44597,"Технологии реально выручают, молодцы что так шапшаң подключились",mixed,
44599,"Кому не лень все что то хотят продать, что не так лежит Қазақстанды  құрту",mixed,
44626,"Хороший артист был, иманды болсын",mixed,
44649,Легенда кино! Иманды болсын Эпоха!,mixed,
44661,США самая мощная держава и Конечнно Қытай. В мире осталось всего две сверх державы будут наверное конкурировать),mixed,
44667,"Аман болсын, хорошо, что все в порядке",mixed,
44706,"Нормально предупредили, балаларға абай болу керек екен",mixed,
44713,"Работают нормально, город таза болсын",mixed,
44770,"Связи с США всегда нужны, экономикаға плюс болады",mixed,
44830,"Экстренные службы бәрін бақылауда ұстап отыр, балалардың жағдайы тұрақты дейді",mixed,
44870,"Настроение сразу жаңарды, балаларға нағыз мереке болды",mixed,
44894,"С одной стороны, балаларға зиян контент азаяды, бірақ бәрібір айналып өтетін жолын табады",mixed,
44905,"Безопасность ведь бірінші орында, бәрі дұрыс жасалып жатыр",mixed,
